;id_user;id_item;rating;timestamp
23264;318;6101;4;972957600
55222;3243;12156;5;1113620400
14358;242;4126;1;964407600
31391;1391;6888;2;1162951200
22177;1656;6044;5;1249786800
37028;1260;7680;2;1063162800
20004;807;5169;2;1275879600
13250;5629;3677;3;1241838000
31995;1822;6982;5;1240110000
20124;807;5230;4;1154833200
70595;235;15140;1;1214967600
53581;14761;12078;4;982983600
33416;1301;7332;2;1071108000
19743;200;5099;5;1278471600
4121;716;681;3;993092400
65420;16606;14167;4;1353290400
2032;1229;101;4;1092193200
33112;200;7270;3;1325728800
69152;2322;14552;4;1090465200
24416;189;6144;5;1249441200
9134;141;2312;5;1098932400
22904;8111;6072;4;970369200
46402;3844;10204;1;1090983600
53939;1607;12095;5;1253934000
28097;10008;6397;5;1181271600
61729;806;13201;4;1245812400
46921;3952;10313;5;982724400
13945;819;4037;5;1220497200
65110;1075;14019;3;1287367200
61635;16398;13199;5;968468400
16302;98;4206;5;1086145200
66842;3750;14397;3;980733600
26359;2073;6261;4;1230688800
28275;10050;6445;5;1185505200
550;115;36;4;995425200
18385;5632;4653;3;1244343600
12945;56;3482;4;1134957600
24177;223;6125;5;971575200
17805;1075;4582;3;1189911600
16301;6501;4205;3;1181098800
60310;1075;13004;4;1112151600
41117;1163;8642;5;1092106800
65141;16854;14035;3;1305428400
5349;790;1188;5;1156820400
36657;957;7647;4;1163037600
66512;27;14356;2;1002423600
21553;6037;6016;1;975117600
26052;6038;6240;4;1014692400
31123;1260;6856;2;1192244400
11724;2086;3124;3;1347159600
41342;1362;8684;5;1084676400
40420;1330;8435;5;1156734000
36595;194;7637;5;1003028400
42829;12934;9065;5;1220238000
51580;8338;11924;5;963284400
11640;3606;3073;2;1334458800
46160;9744;10179;5;1097982000
19889;2408;5131;5;1155783600
19729;7771;5099;5;1096772400
6935;3380;1945;4;1216609200
49838;14288;11403;3;1155783600
23477;7783;6113;5;1054609200
5792;897;1318;5;1011060000
70943;1607;15278;4;1241924400
31699;1789;6939;4;1216177200
26257;1775;6247;5;1216350000
26789;100;6280;2;1143169200
50571;6028;11649;5;1185332400
48825;61;11072;4;1246503600
14372;5995;4127;3;965271600
40742;12634;8564;1;1223348400
68708;2035;14506;1;1263088800
25551;9267;6200;4;1152241200
34917;14;7503;4;968641200
59996;11864;12964;2;1127358000
998;618;53;4;967690800
2592;1566;224;5;1197856800
60662;1340;13066;5;1155092400
10067;4596;2509;5;1139709600
25952;1073;6239;5;1008727200
34067;11360;7404;3;963543600
32650;1393;7126;5;1271646000
1698;999;83;4;1033614000
63639;1607;13560;3;1277694000
9593;1715;2353;5;1253415600
58033;6334;12427;2;1081134000
53417;200;12064;5;1270350000
43202;1257;9143;4;1320890400
3218;356;394;3;1287626400
40205;1163;8355;3;1095217200
12169;3987;3173;5;1007690400
7696;3731;2227;2;978746400
57606;15707;12383;4;1084762800
27837;8152;6358;4;970282800
43334;1075;9187;2;1225159200
33231;11097;7331;5;1349578800
1394;826;64;4;1109041200
47443;13755;10507;5;1244430000
66056;16913;14326;1;963543600
37217;11938;7702;3;1232762400
2479;1488;205;5;1243134000
48513;13988;10991;5;1184036400
12974;1759;3505;4;1212462000
42843;40;9067;4;1299639600
36312;11318;7623;4;963543600
