algorithm,hits,hr,time,train_size,test_size,test_interactions
LinUCB - ALS embeddings,58,0.06904761904761905,0.8330161571502686,0.0,0.1,840
LinUCB - BPR embeddings,13,0.015476190476190477,0.7396805286407471,0.0,0.1,840
LinGreedy - ALS embeddings,62,0.07380952380952381,0.6351430416107178,0.0,0.1,840
LinGreedy - BPR embeddings,12,0.014285714285714285,0.6623740196228027,0.0,0.1,840
LinUCB - ALS embeddings,53,0.0630952380952381,0.9612307548522949,0.1,0.1,840
LinUCB - BPR embeddings,13,0.015476190476190477,0.9704940319061279,0.1,0.1,840
LinGreedy - ALS embeddings,59,0.07023809523809524,0.8444883823394775,0.1,0.1,840
LinGreedy - BPR embeddings,13,0.015476190476190477,0.7233908176422119,0.1,0.1,840
LinUCB - ALS embeddings,47,0.055952380952380955,1.6127207279205322,0.2,0.1,840
LinUCB - BPR embeddings,12,0.014285714285714285,1.1150460243225098,0.2,0.1,840
LinGreedy - ALS embeddings,56,0.06666666666666667,0.8005669116973877,0.2,0.1,840
LinGreedy - BPR embeddings,12,0.014285714285714285,0.8307344913482666,0.2,0.1,840
LinUCB - ALS embeddings,46,0.05476190476190476,1.4531564712524414,0.3,0.1,840
LinUCB - BPR embeddings,9,0.010714285714285714,0.8188877105712891,0.3,0.1,840
LinGreedy - ALS embeddings,57,0.06785714285714285,0.8647007942199707,0.3,0.1,840
LinGreedy - BPR embeddings,9,0.010714285714285714,0.6858818531036377,0.3,0.1,840
LinUCB - ALS embeddings,45,0.05357142857142857,1.0005662441253662,0.4,0.1,840
LinUCB - BPR embeddings,9,0.010714285714285714,0.989215612411499,0.4,0.1,840
LinGreedy - ALS embeddings,53,0.0630952380952381,0.7349729537963867,0.4,0.1,840
LinGreedy - BPR embeddings,11,0.013095238095238096,0.6941654682159424,0.4,0.1,840
LinUCB - ALS embeddings,29,0.034523809523809526,0.9146263599395752,0.5,0.1,840
LinUCB - BPR embeddings,10,0.011904761904761904,1.0771334171295166,0.5,0.1,840
LinGreedy - ALS embeddings,44,0.05238095238095238,0.7681543827056885,0.5,0.1,840
LinGreedy - BPR embeddings,10,0.011904761904761904,0.7104177474975586,0.5,0.1,840
LinUCB - ALS embeddings,29,0.034523809523809526,1.0774993896484375,0.6,0.1,840
LinUCB - BPR embeddings,9,0.010714285714285714,1.1522409915924072,0.6,0.1,840
LinGreedy - ALS embeddings,43,0.05119047619047619,0.8569314479827881,0.6,0.1,840
LinGreedy - BPR embeddings,11,0.013095238095238096,0.808319091796875,0.6,0.1,840
LinUCB - ALS embeddings,31,0.036904761904761905,0.9144759178161621,0.7,0.1,840
LinUCB - BPR embeddings,8,0.009523809523809525,1.1445999145507812,0.7,0.1,840
LinGreedy - ALS embeddings,44,0.05238095238095238,1.0078027248382568,0.7,0.1,840
LinGreedy - BPR embeddings,10,0.011904761904761904,0.9115455150604248,0.7,0.1,840
LinUCB - ALS embeddings,27,0.03214285714285714,1.1847422122955322,0.8,0.1,840
LinUCB - BPR embeddings,8,0.009523809523809525,1.5057947635650635,0.8,0.1,840
LinGreedy - ALS embeddings,46,0.05476190476190476,0.8058440685272217,0.8,0.1,840
LinGreedy - BPR embeddings,10,0.011904761904761904,0.9873805046081543,0.8,0.1,840
LinUCB - ALS embeddings,25,0.02976190476190476,0.7290854454040527,0.9,0.1,840
LinUCB - BPR embeddings,9,0.010714285714285714,0.7096507549285889,0.9,0.1,840
LinGreedy - ALS embeddings,38,0.04523809523809524,0.6606419086456299,0.9,0.1,840
LinGreedy - BPR embeddings,10,0.011904761904761904,0.6149334907531738,0.9,0.1,840
LinUCB - ALS embeddings,25,0.02976190476190476,0.9177556037902832,1.0,0.1,840
LinUCB - BPR embeddings,9,0.010714285714285714,0.9356169700622559,1.0,0.1,840
LinGreedy - ALS embeddings,27,0.03214285714285714,0.7269575595855713,1.0,0.1,840
LinGreedy - BPR embeddings,9,0.010714285714285714,0.8034307956695557,1.0,0.1,840
ALS,261,0.3107142857142857,0.5455095767974854,0.0,0.1,840
BPR,215,0.25595238095238093,0.6169571876525879,0.0,0.1,840
ALS,274,0.3261904761904762,0.4477972984313965,0.1,0.1,840
BPR,246,0.29285714285714287,0.6180336475372314,0.1,0.1,840
ALS,281,0.3345238095238095,0.7115597724914551,0.2,0.1,840
BPR,270,0.32142857142857145,0.6082212924957275,0.2,0.1,840
ALS,287,0.3416666666666667,0.8632688522338867,0.3,0.1,840
BPR,270,0.32142857142857145,1.8526923656463623,0.3,0.1,840
ALS,310,0.36904761904761907,0.548192024230957,0.4,0.1,840
BPR,295,0.35119047619047616,0.5592992305755615,0.4,0.1,840
ALS,320,0.38095238095238093,0.8567636013031006,0.5,0.1,840
BPR,335,0.39880952380952384,0.7926051616668701,0.5,0.1,840
ALS,357,0.425,0.8030848503112793,0.6,0.1,840
BPR,377,0.4488095238095238,0.882624626159668,0.6,0.1,840
ALS,364,0.43333333333333335,0.6721386909484863,0.7,0.1,840
BPR,409,0.4869047619047619,0.9260876178741455,0.7,0.1,840
ALS,386,0.4595238095238095,0.5079801082611084,0.8,0.1,840
BPR,461,0.5488095238095239,0.5819113254547119,0.8,0.1,840
ALS,425,0.5059523809523809,0.41216278076171875,0.9,0.1,840
BPR,493,0.5869047619047619,0.4634208679199219,0.9,0.1,840
ALS,447,0.5321428571428571,0.4235725402832031,1.0,0.1,840
BPR,515,0.6130952380952381,0.46439123153686523,1.0,0.1,840
