algorithm,interaction_number,user_id,item_id,recommendations,train_size
ALS,0,8286,753,"[3055, 9544, 6731, 8246, 9809, 8202, 11750, 7470, 9189, 7473]",0.0
ALS,1,9541,11459,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
ALS,2,9541,4367,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
ALS,3,9541,10342,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
ALS,4,9541,5297,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
ALS,5,9334,10760,"[3055, 8202, 9544, 6930, 1033, 1771, 425, 720, 4179, 5402]",0.0
ALS,6,7377,11607,"[3055, 10760, 5242, 9544, 1862, 985, 3423, 8347, 9530, 9585]",0.0
ALS,7,4323,2773,"[9544, 7473, 8202, 8246, 1224, 11750, 9189, 6731, 425, 9809]",0.0
ALS,8,4323,8611,"[9544, 7473, 8202, 8246, 1224, 11750, 9189, 6731, 425, 9809]",0.0
ALS,9,4323,3055,"[9544, 7473, 8202, 8246, 1224, 11750, 9189, 6731, 425, 9809]",0.0
ALS,10,4323,8722,"[9544, 7473, 8202, 8246, 1224, 11750, 9189, 6731, 425, 9809]",0.0
ALS,11,7414,7834,"[6885, 7851, 1025, 10079, 7161, 11301, 11545, 9986, 9487, 2769]",0.0
ALS,12,9541,11796,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
ALS,13,4323,6047,"[9544, 7473, 8202, 8246, 1224, 11750, 9189, 6731, 425, 9809]",0.0
ALS,14,9541,11668,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
ALS,15,9662,8487,"[8202, 4179, 11572, 2361, 6930, 1141, 9877, 356, 11093, 3536]",0.0
ALS,16,8286,10080,"[3055, 9544, 6731, 8246, 9809, 8202, 11750, 7470, 9189, 7473]",0.0
ALS,17,9334,4245,"[3055, 8202, 9544, 6930, 1033, 1771, 425, 720, 4179, 5402]",0.0
ALS,18,9541,4379,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
ALS,19,9334,11898,"[3055, 8202, 9544, 6930, 1033, 1771, 425, 720, 4179, 5402]",0.0
ALS,20,9541,6947,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
ALS,21,9541,8727,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
ALS,22,9541,11898,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
ALS,23,9541,9625,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
ALS,24,3533,4831,"[3055, 9544, 6731, 8246, 9809, 7470, 9189, 11750, 8369, 1190]",0.0
ALS,25,9541,6896,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
ALS,26,9662,8727,"[8202, 4179, 11572, 2361, 6930, 1141, 9877, 356, 11093, 3536]",0.0
ALS,27,9662,8727,"[8202, 4179, 11572, 2361, 6930, 1141, 9877, 356, 11093, 3536]",0.0
ALS,28,9541,2918,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
ALS,29,9541,7346,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
ALS,30,9541,6019,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
ALS,31,9541,7331,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
ALS,32,9541,10563,"[10531, 7419, 11960, 3423, 6234, 10091, 5449, 1966, 7757, 7284]",0.0
