algorithm,hits,hr,time,train_size,test_size,test_interactions
LinUCB - ALS embeddings - 1,0,0.0,0.44313478469848633,0.0,0.1,49
LinUCB - BPR embeddings - 1,0,0.0,0.5268511772155762,0.0,0.1,49
LinGreedy - ALS embeddings - 1,0,0.0,0.30399608612060547,0.0,0.1,49
LinGreedy - BPR embeddings - 1,0,0.0,0.3256969451904297,0.0,0.1,49
LinUCB - ALS embeddings - 2,0,0.0,0.652820348739624,0.0,0.1,49
LinUCB - BPR embeddings - 2,0,0.0,0.5293636322021484,0.0,0.1,49
LinGreedy - ALS embeddings - 2,0,0.0,0.3104536533355713,0.0,0.1,49
LinGreedy - BPR embeddings - 2,0,0.0,0.3677957057952881,0.0,0.1,49
LinUCB - ALS embeddings - 3,0,0.0,0.5244226455688477,0.0,0.1,49
LinUCB - BPR embeddings - 3,0,0.0,0.486173152923584,0.0,0.1,49
LinGreedy - ALS embeddings - 3,0,0.0,0.36747217178344727,0.0,0.1,49
LinGreedy - BPR embeddings - 3,0,0.0,0.43874549865722656,0.0,0.1,49
LinUCB - ALS embeddings - 4,0,0.0,0.7245292663574219,0.0,0.1,49
LinUCB - BPR embeddings - 4,0,0.0,0.6940162181854248,0.0,0.1,49
LinGreedy - ALS embeddings - 4,0,0.0,0.3291187286376953,0.0,0.1,49
LinGreedy - BPR embeddings - 4,0,0.0,0.40499258041381836,0.0,0.1,49
LinUCB - ALS embeddings - 5,0,0.0,0.7423641681671143,0.0,0.1,49
LinUCB - BPR embeddings - 5,0,0.0,0.5706710815429688,0.0,0.1,49
LinGreedy - ALS embeddings - 5,0,0.0,0.9256768226623535,0.0,0.1,49
LinGreedy - BPR embeddings - 5,0,0.0,0.37795543670654297,0.0,0.1,49
LinUCB - ALS embeddings - 1,0,0.0,0.8982298374176025,0.1,0.1,49
LinUCB - BPR embeddings - 1,0,0.0,1.5749156475067139,0.1,0.1,49
LinGreedy - ALS embeddings - 1,0,0.0,0.7887077331542969,0.1,0.1,49
LinGreedy - BPR embeddings - 1,0,0.0,0.7033264636993408,0.1,0.1,49
LinUCB - ALS embeddings - 2,0,0.0,1.4989778995513916,0.1,0.1,49
LinUCB - BPR embeddings - 2,0,0.0,1.555945634841919,0.1,0.1,49
LinGreedy - ALS embeddings - 2,0,0.0,0.5926775932312012,0.1,0.1,49
LinGreedy - BPR embeddings - 2,0,0.0,0.6009163856506348,0.1,0.1,49
LinUCB - ALS embeddings - 3,0,0.0,1.0305414199829102,0.1,0.1,49
LinUCB - BPR embeddings - 3,0,0.0,0.7431643009185791,0.1,0.1,49
LinGreedy - ALS embeddings - 3,0,0.0,0.2798335552215576,0.1,0.1,49
LinGreedy - BPR embeddings - 3,0,0.0,1.0019803047180176,0.1,0.1,49
LinUCB - ALS embeddings - 4,0,0.0,0.758927583694458,0.1,0.1,49
LinUCB - BPR embeddings - 4,0,0.0,0.7935986518859863,0.1,0.1,49
LinGreedy - ALS embeddings - 4,0,0.0,0.41495251655578613,0.1,0.1,49
LinGreedy - BPR embeddings - 4,0,0.0,0.39885759353637695,0.1,0.1,49
LinUCB - ALS embeddings - 5,0,0.0,0.8116252422332764,0.1,0.1,49
LinUCB - BPR embeddings - 5,0,0.0,0.7557876110076904,0.1,0.1,49
LinGreedy - ALS embeddings - 5,0,0.0,0.4405229091644287,0.1,0.1,49
LinGreedy - BPR embeddings - 5,0,0.0,0.38919687271118164,0.1,0.1,49
LinUCB - ALS embeddings - 1,0,0.0,0.38340163230895996,0.2,0.1,49
LinUCB - BPR embeddings - 1,0,0.0,0.3780083656311035,0.2,0.1,49
LinGreedy - ALS embeddings - 1,0,0.0,0.298598051071167,0.2,0.1,49
LinGreedy - BPR embeddings - 1,0,0.0,0.27008557319641113,0.2,0.1,49
LinUCB - ALS embeddings - 2,0,0.0,0.4055004119873047,0.2,0.1,49
LinUCB - BPR embeddings - 2,0,0.0,0.4262831211090088,0.2,0.1,49
LinGreedy - ALS embeddings - 2,0,0.0,0.2785663604736328,0.2,0.1,49
LinGreedy - BPR embeddings - 2,0,0.0,0.2856111526489258,0.2,0.1,49
LinUCB - ALS embeddings - 3,0,0.0,0.4193568229675293,0.2,0.1,49
LinUCB - BPR embeddings - 3,0,0.0,0.447277307510376,0.2,0.1,49
LinGreedy - ALS embeddings - 3,0,0.0,0.27974581718444824,0.2,0.1,49
LinGreedy - BPR embeddings - 3,0,0.0,0.28058862686157227,0.2,0.1,49
LinUCB - ALS embeddings - 4,0,0.0,0.47694993019104004,0.2,0.1,49
LinUCB - BPR embeddings - 4,0,0.0,0.4571421146392822,0.2,0.1,49
LinGreedy - ALS embeddings - 4,0,0.0,0.2806849479675293,0.2,0.1,49
LinGreedy - BPR embeddings - 4,0,0.0,0.282606840133667,0.2,0.1,49
LinUCB - ALS embeddings - 5,0,0.0,0.5015332698822021,0.2,0.1,49
LinUCB - BPR embeddings - 5,0,0.0,0.5184049606323242,0.2,0.1,49
LinGreedy - ALS embeddings - 5,0,0.0,0.2826409339904785,0.2,0.1,49
LinGreedy - BPR embeddings - 5,0,0.0,0.28850603103637695,0.2,0.1,49
LinUCB - ALS embeddings - 1,0,0.0,0.37057924270629883,0.3,0.1,49
LinUCB - BPR embeddings - 1,0,0.0,0.3414773941040039,0.3,0.1,49
LinGreedy - ALS embeddings - 1,0,0.0,0.3480489253997803,0.3,0.1,49
LinGreedy - BPR embeddings - 1,0,0.0,0.346710205078125,0.3,0.1,49
LinUCB - ALS embeddings - 2,0,0.0,0.4315519332885742,0.3,0.1,49
LinUCB - BPR embeddings - 2,0,0.0,0.3835945129394531,0.3,0.1,49
LinGreedy - ALS embeddings - 2,0,0.0,0.25742435455322266,0.3,0.1,49
LinGreedy - BPR embeddings - 2,0,0.0,0.29795098304748535,0.3,0.1,49
LinUCB - ALS embeddings - 3,0,0.0,0.39330291748046875,0.3,0.1,49
LinUCB - BPR embeddings - 3,1,0.02040816326530612,0.4631688594818115,0.3,0.1,49
LinGreedy - ALS embeddings - 3,0,0.0,0.26195549964904785,0.3,0.1,49
LinGreedy - BPR embeddings - 3,1,0.02040816326530612,0.26390838623046875,0.3,0.1,49
LinUCB - ALS embeddings - 4,0,0.0,0.41719770431518555,0.3,0.1,49
LinUCB - BPR embeddings - 4,0,0.0,0.4237020015716553,0.3,0.1,49
LinGreedy - ALS embeddings - 4,0,0.0,0.2659950256347656,0.3,0.1,49
LinGreedy - BPR embeddings - 4,0,0.0,0.27799558639526367,0.3,0.1,49
LinUCB - ALS embeddings - 5,0,0.0,0.4803295135498047,0.3,0.1,49
LinUCB - BPR embeddings - 5,0,0.0,0.544682502746582,0.3,0.1,49
LinGreedy - ALS embeddings - 5,0,0.0,0.2700519561767578,0.3,0.1,49
LinGreedy - BPR embeddings - 5,0,0.0,0.25914645195007324,0.3,0.1,49
LinUCB - ALS embeddings - 1,0,0.0,0.5750446319580078,0.4,0.1,49
LinUCB - BPR embeddings - 1,0,0.0,0.5177972316741943,0.4,0.1,49
LinGreedy - ALS embeddings - 1,0,0.0,0.45588111877441406,0.4,0.1,49
LinGreedy - BPR embeddings - 1,0,0.0,0.43400049209594727,0.4,0.1,49
LinUCB - ALS embeddings - 2,0,0.0,0.5627689361572266,0.4,0.1,49
LinUCB - BPR embeddings - 2,0,0.0,0.7025279998779297,0.4,0.1,49
LinGreedy - ALS embeddings - 2,0,0.0,0.9904751777648926,0.4,0.1,49
LinGreedy - BPR embeddings - 2,0,0.0,0.834068775177002,0.4,0.1,49
LinUCB - ALS embeddings - 3,0,0.0,0.3527669906616211,0.4,0.1,49
LinUCB - BPR embeddings - 3,0,0.0,0.34456539154052734,0.4,0.1,49
LinGreedy - ALS embeddings - 3,0,0.0,0.25876951217651367,0.4,0.1,49
LinGreedy - BPR embeddings - 3,0,0.0,0.27537989616394043,0.4,0.1,49
LinUCB - ALS embeddings - 4,1,0.02040816326530612,0.4674966335296631,0.4,0.1,49
LinUCB - BPR embeddings - 4,1,0.02040816326530612,0.7149620056152344,0.4,0.1,49
LinGreedy - ALS embeddings - 4,1,0.02040816326530612,0.33831071853637695,0.4,0.1,49
LinGreedy - BPR embeddings - 4,1,0.02040816326530612,0.2966926097869873,0.4,0.1,49
LinUCB - ALS embeddings - 5,0,0.0,0.6174178123474121,0.4,0.1,49
LinUCB - BPR embeddings - 5,1,0.02040816326530612,0.5879368782043457,0.4,0.1,49
LinGreedy - ALS embeddings - 5,0,0.0,0.2796492576599121,0.4,0.1,49
LinGreedy - BPR embeddings - 5,1,0.02040816326530612,0.32376527786254883,0.4,0.1,49
LinUCB - ALS embeddings - 1,0,0.0,0.39490294456481934,0.5,0.1,49
LinUCB - BPR embeddings - 1,0,0.0,0.6083097457885742,0.5,0.1,49
LinGreedy - ALS embeddings - 1,0,0.0,0.32089710235595703,0.5,0.1,49
LinGreedy - BPR embeddings - 1,0,0.0,0.27463340759277344,0.5,0.1,49
LinUCB - ALS embeddings - 2,0,0.0,0.37241554260253906,0.5,0.1,49
LinUCB - BPR embeddings - 2,0,0.0,0.4208028316497803,0.5,0.1,49
LinGreedy - ALS embeddings - 2,0,0.0,0.2731301784515381,0.5,0.1,49
LinGreedy - BPR embeddings - 2,0,0.0,0.28382349014282227,0.5,0.1,49
LinUCB - ALS embeddings - 3,0,0.0,0.47153472900390625,0.5,0.1,49
LinUCB - BPR embeddings - 3,0,0.0,0.4075455665588379,0.5,0.1,49
LinGreedy - ALS embeddings - 3,0,0.0,0.28778624534606934,0.5,0.1,49
LinGreedy - BPR embeddings - 3,0,0.0,0.2627854347229004,0.5,0.1,49
LinUCB - ALS embeddings - 4,1,0.02040816326530612,0.4956674575805664,0.5,0.1,49
LinUCB - BPR embeddings - 4,1,0.02040816326530612,0.47347211837768555,0.5,0.1,49
LinGreedy - ALS embeddings - 4,1,0.02040816326530612,0.2909717559814453,0.5,0.1,49
LinGreedy - BPR embeddings - 4,1,0.02040816326530612,0.2715761661529541,0.5,0.1,49
LinUCB - ALS embeddings - 5,1,0.02040816326530612,0.4740147590637207,0.5,0.1,49
LinUCB - BPR embeddings - 5,1,0.02040816326530612,0.5099308490753174,0.5,0.1,49
LinGreedy - ALS embeddings - 5,1,0.02040816326530612,0.3761935234069824,0.5,0.1,49
LinGreedy - BPR embeddings - 5,1,0.02040816326530612,0.33339667320251465,0.5,0.1,49
LinUCB - ALS embeddings - 1,0,0.0,0.6403744220733643,0.6,0.1,49
LinUCB - BPR embeddings - 1,0,0.0,0.48084068298339844,0.6,0.1,49
