algorithm,hits,hr,time,train_size,test_size,test_interactions
LinUCB - ALS embeddings,0,0.0,0.6011018753051758,0.0,0.1,49
LinUCB - BPR embeddings,0,0.0,0.4715137481689453,0.0,0.1,49
LinGreedy - ALS embeddings,0,0.0,0.3976771831512451,0.0,0.1,49
LinGreedy - BPR embeddings,0,0.0,0.3727245330810547,0.0,0.1,49
LinUCB - ALS embeddings,0,0.0,0.6432816982269287,0.1,0.1,49
LinUCB - BPR embeddings,0,0.0,0.6187150478363037,0.1,0.1,49
LinGreedy - ALS embeddings,0,0.0,0.4877359867095947,0.1,0.1,49
LinGreedy - BPR embeddings,0,0.0,0.7288970947265625,0.1,0.1,49
LinUCB - ALS embeddings,0,0.0,0.4086897373199463,0.2,0.1,49
LinUCB - BPR embeddings,0,0.0,0.43668103218078613,0.2,0.1,49
LinGreedy - ALS embeddings,0,0.0,0.2777528762817383,0.2,0.1,49
LinGreedy - BPR embeddings,0,0.0,0.31204700469970703,0.2,0.1,49
LinUCB - ALS embeddings,0,0.0,0.4749743938446045,0.3,0.1,49
LinUCB - BPR embeddings,0,0.0,0.3793973922729492,0.3,0.1,49
LinGreedy - ALS embeddings,0,0.0,0.27294230461120605,0.3,0.1,49
LinGreedy - BPR embeddings,0,0.0,0.26784849166870117,0.3,0.1,49
LinUCB - ALS embeddings,0,0.0,0.396435022354126,0.4,0.1,49
LinUCB - BPR embeddings,0,0.0,0.42756128311157227,0.4,0.1,49
LinGreedy - ALS embeddings,0,0.0,0.31540894508361816,0.4,0.1,49
LinGreedy - BPR embeddings,0,0.0,0.2858586311340332,0.4,0.1,49
LinUCB - ALS embeddings,0,0.0,0.46053385734558105,0.5,0.1,49
LinUCB - BPR embeddings,0,0.0,1.0350122451782227,0.5,0.1,49
LinGreedy - ALS embeddings,0,0.0,0.3048129081726074,0.5,0.1,49
LinGreedy - BPR embeddings,0,0.0,0.2928328514099121,0.5,0.1,49
LinUCB - ALS embeddings,0,0.0,0.7119057178497314,0.6,0.1,49
LinUCB - BPR embeddings,0,0.0,0.4027395248413086,0.6,0.1,49
LinGreedy - ALS embeddings,0,0.0,0.43195509910583496,0.6,0.1,49
LinGreedy - BPR embeddings,0,0.0,0.3201005458831787,0.6,0.1,49
LinUCB - ALS embeddings,1,0.02040816326530612,0.4790036678314209,0.7,0.1,49
LinUCB - BPR embeddings,0,0.0,0.500891923904419,0.7,0.1,49
LinGreedy - ALS embeddings,0,0.0,0.3909163475036621,0.7,0.1,49
LinGreedy - BPR embeddings,0,0.0,0.29285430908203125,0.7,0.1,49
LinUCB - ALS embeddings,1,0.02040816326530612,0.5195822715759277,0.8,0.1,49
LinUCB - BPR embeddings,0,0.0,0.39426326751708984,0.8,0.1,49
LinGreedy - ALS embeddings,0,0.0,0.28174781799316406,0.8,0.1,49
LinGreedy - BPR embeddings,0,0.0,0.30571460723876953,0.8,0.1,49
LinUCB - ALS embeddings,1,0.02040816326530612,0.47151875495910645,0.9,0.1,49
LinUCB - BPR embeddings,0,0.0,0.4408855438232422,0.9,0.1,49
LinGreedy - ALS embeddings,1,0.02040816326530612,0.2671492099761963,0.9,0.1,49
LinGreedy - BPR embeddings,0,0.0,0.30470824241638184,0.9,0.1,49
LinUCB - ALS embeddings,1,0.02040816326530612,0.4409449100494385,1.0,0.1,49
LinUCB - BPR embeddings,0,0.0,0.40428948402404785,1.0,0.1,49
LinGreedy - ALS embeddings,1,0.02040816326530612,0.325031042098999,1.0,0.1,49
LinGreedy - BPR embeddings,0,0.0,0.30268263816833496,1.0,0.1,49
ALS,0,0.0,0.046679019927978516,0.0,0.1,49
BPR,0,0.0,0.08734297752380371,0.0,0.1,49
ALS,0,0.0,0.16995620727539062,0.1,0.1,49
BPR,0,0.0,0.11211013793945312,0.1,0.1,49
ALS,0,0.0,0.0314943790435791,0.2,0.1,49
BPR,1,0.02040816326530612,0.04652905464172363,0.2,0.1,49
ALS,0,0.0,0.039981842041015625,0.3,0.1,49
BPR,0,0.0,0.04118037223815918,0.3,0.1,49
ALS,0,0.0,0.05082583427429199,0.4,0.1,49
BPR,0,0.0,0.04068493843078613,0.4,0.1,49
ALS,0,0.0,0.03560376167297363,0.5,0.1,49
BPR,0,0.0,0.04399824142456055,0.5,0.1,49
ALS,1,0.02040816326530612,0.047325849533081055,0.6,0.1,49
BPR,0,0.0,0.04899787902832031,0.6,0.1,49
ALS,1,0.02040816326530612,0.0485997200012207,0.7,0.1,49
BPR,0,0.0,0.060735225677490234,0.7,0.1,49
ALS,1,0.02040816326530612,0.041547536849975586,0.8,0.1,49
BPR,0,0.0,0.1400139331817627,0.8,0.1,49
ALS,2,0.04081632653061224,0.050217628479003906,0.9,0.1,49
BPR,0,0.0,0.043549299240112305,0.9,0.1,49
ALS,1,0.02040816326530612,0.03651762008666992,1.0,0.1,49
BPR,0,0.0,0.04852771759033203,1.0,0.1,49
