algorithm,hits,hr,time,hiperparams,batch_size,test_size,test_interactions
ALS,948,0.1280561934350939,2.4545984268188477,{},,0.75,7403
LinUCB (non_incremental),532,0.07186275834121301,1.227843999862671,{'alpha': 0.1},,0.75,7403
LinUCB (non_incremental),479,0.06470349858165608,1.2511045932769775,{'alpha': 0.5},,0.75,7403
LinUCB (non_incremental),391,0.05281642577333513,1.1969184875488281,{'alpha': 1},,0.75,7403
LinUCB (non_incremental),317,0.04282047818451979,1.4460158348083496,{'alpha': 1.5},,0.75,7403
LinUCB (non_incremental),263,0.035526138052141026,1.2434265613555908,{'alpha': 2},,0.75,7403
LinGreedy (non_incremental),548,0.07402404430636228,1.044090747833252,{'epsilon': 0.01},,0.75,7403
LinGreedy (non_incremental),538,0.07267324057814399,1.0650410652160645,{'epsilon': 0.05},,0.75,7403
LinGreedy (non_incremental),529,0.07145751722274754,1.0583858489990234,{'epsilon': 0.1},,0.75,7403
LinGreedy (non_incremental),490,0.06618938268269621,1.073648452758789,{'epsilon': 0.25},,0.75,7403
LinGreedy (non_incremental),462,0.06240713224368499,1.0891473293304443,{'epsilon': 0.5},,0.75,7403
LinUCB (incremental),654,0.08834256382547616,146.50922417640686,{'alpha': 0.1},10.0,0.75,7403
LinUCB (incremental),591,0.07983250033770094,147.5667724609375,{'alpha': 0.5},10.0,0.75,7403
LinUCB (incremental),519,0.07010671349452924,148.30560111999512,{'alpha': 1},10.0,0.75,7403
LinUCB (incremental),463,0.06254221261650682,147.37711453437805,{'alpha': 1.5},10.0,0.75,7403
LinUCB (incremental),425,0.05740915844927732,147.15807676315308,{'alpha': 2},10.0,0.75,7403
LinGreedy (incremental),671,0.09063893016344725,144.57865571975708,{'epsilon': 0.01},10.0,0.75,7403
LinGreedy (incremental),659,0.08901796568958531,140.40704894065857,{'epsilon': 0.05},10.0,0.75,7403
LinGreedy (incremental),638,0.0861812778603269,140.48057007789612,{'epsilon': 0.1},10.0,0.75,7403
LinGreedy (incremental),592,0.07996758071052276,138.86887669563293,{'epsilon': 0.25},10.0,0.75,7403
LinGreedy (incremental),548,0.07402404430636228,138.9267282485962,{'epsilon': 0.5},10.0,0.75,7403
LinUCB (incremental),595,0.08037282182898825,21.76827073097229,{'alpha': 0.1},100.0,0.75,7403
LinUCB (incremental),545,0.07361880318789679,21.849928617477417,{'alpha': 0.5},100.0,0.75,7403
LinUCB (incremental),487,0.06578414156423072,22.155924320220947,{'alpha': 1},100.0,0.75,7403
LinUCB (incremental),428,0.05781439956774281,21.970839977264404,{'alpha': 1.5},100.0,0.75,7403
LinUCB (incremental),376,0.0507902201810077,21.80033254623413,{'alpha': 2},100.0,0.75,7403
LinGreedy (incremental),606,0.08185870593002836,20.743770599365234,{'epsilon': 0.01},100.0,0.75,7403
LinGreedy (incremental),585,0.07902201810076996,21.117226362228394,{'epsilon': 0.05},100.0,0.75,7403
LinGreedy (incremental),577,0.07794137511819532,20.533724308013916,{'epsilon': 0.1},100.0,0.75,7403
LinGreedy (incremental),498,0.06727002566527084,20.853076219558716,{'epsilon': 0.25},100.0,0.75,7403
LinGreedy (incremental),523,0.07064703498581656,20.703763961791992,{'epsilon': 0.5},100.0,0.75,7403
LinUCB (incremental),545,0.07361880318789679,3.716186046600342,{'alpha': 0.1},1000.0,0.75,7403
LinUCB (incremental),509,0.06875590976631095,3.7453601360321045,{'alpha': 0.5},1000.0,0.75,7403
LinUCB (incremental),469,0.0633526948534378,3.723062753677368,{'alpha': 1},1000.0,0.75,7403
LinUCB (incremental),404,0.05457247062001891,3.6211001873016357,{'alpha': 1.5},1000.0,0.75,7403
LinUCB (incremental),365,0.04930433607996758,3.7022764682769775,{'alpha': 2},1000.0,0.75,7403
LinGreedy (incremental),564,0.07618533027151154,3.4652063846588135,{'epsilon': 0.01},1000.0,0.75,7403
LinGreedy (incremental),558,0.07537484803458057,3.512347936630249,{'epsilon': 0.05},1000.0,0.75,7403
LinGreedy (incremental),545,0.07361880318789679,3.630309581756592,{'epsilon': 0.1},1000.0,0.75,7403
LinGreedy (incremental),507,0.0684857490206673,3.459078550338745,{'epsilon': 0.25},1000.0,0.75,7403
LinGreedy (incremental),468,0.06321761448061597,3.506606340408325,{'epsilon': 0.5},1000.0,0.75,7403
