algorithm,hiperparams,batch_size,interaction_number,user_id,item_id,recommendations
ALS,{},,0,75,163,"[42, 164, 68, 121, 63, 99, 4, 19, 8, 96]"
ALS,{},,1,75,47,"[42, 164, 68, 121, 63, 99, 4, 19, 8, 96]"
ALS,{},,2,75,19,"[42, 164, 68, 121, 63, 99, 4, 19, 8, 96]"
ALS,{},,3,778,107,"[16, 65, 42, 60, 25, 31, 37, 75, 49, 58]"
ALS,{},,4,778,125,"[16, 65, 42, 60, 25, 31, 37, 75, 49, 58]"
ALS,{},,5,942,35,"[62, 133, 67, 29, 49, 82, 26, 21, 99, 3]"
ALS,{},,6,778,65,"[16, 65, 42, 60, 25, 31, 37, 75, 49, 58]"
ALS,{},,7,942,42,"[62, 133, 67, 29, 49, 82, 26, 21, 99, 3]"
ALS,{},,8,942,171,"[62, 133, 67, 29, 49, 82, 26, 21, 99, 3]"
ALS,{},,9,942,164,"[62, 133, 67, 29, 49, 82, 26, 21, 99, 3]"
ALS,{},,10,942,161,"[62, 133, 67, 29, 49, 82, 26, 21, 99, 3]"
ALS,{},,11,942,118,"[62, 133, 67, 29, 49, 82, 26, 21, 99, 3]"
ALS,{},,12,206,42,"[42, 25, 10, 77, 32, 169, 187, 154, 172, 168]"
ALS,{},,13,232,174,"[133, 169, 10, 43, 59, 154, 70, 168, 68, 173]"
ALS,{},,14,151,122,"[133, 169, 23, 0, 182, 154, 30, 152, 88, 14]"
ALS,{},,15,4,106,"[122, 107, 116, 131, 111, 8, 124, 193, 113, 134]"
ALS,{},,16,4,35,"[122, 107, 116, 131, 111, 8, 124, 193, 113, 134]"
ALS,{},,17,4,65,"[122, 107, 116, 131, 111, 8, 124, 193, 113, 134]"
ALS,{},,18,4,29,"[122, 107, 116, 131, 111, 8, 124, 193, 113, 134]"
ALS,{},,19,4,93,"[122, 107, 116, 131, 111, 8, 124, 193, 113, 134]"
ALS,{},,20,4,60,"[122, 107, 116, 131, 111, 8, 124, 193, 113, 134]"
ALS,{},,21,4,58,"[122, 107, 116, 131, 111, 8, 124, 193, 113, 134]"
ALS,{},,22,4,53,"[122, 107, 116, 131, 111, 8, 124, 193, 113, 134]"
ALS,{},,23,4,69,"[122, 107, 116, 131, 111, 8, 124, 193, 113, 134]"
ALS,{},,24,4,84,"[122, 107, 116, 131, 111, 8, 124, 193, 113, 134]"
ALS,{},,25,4,157,"[122, 107, 116, 131, 111, 8, 124, 193, 113, 134]"
ALS,{},,26,797,119,"[127, 98, 37, 197, 118, 126, 13, 131, 140, 125]"
ALS,{},,27,797,48,"[127, 98, 37, 197, 118, 126, 13, 131, 140, 125]"
ALS,{},,28,91,16,"[113, 33, 127, 141, 68, 98, 17, 129, 39, 79]"
ALS,{},,29,91,164,"[113, 33, 127, 141, 68, 98, 17, 129, 39, 79]"
ALS,{},,30,91,117,"[113, 33, 127, 141, 68, 98, 17, 129, 39, 79]"
