algorithm,hits,hr,time,hiperparams,batch_size,test_size,test_interactions
ALS,46,0.1538461538461538,0.1210343837738037,{},,0.05,299
LinUCB (non_incremental),22,0.0735785953177257,0.0847105979919433,{'alpha': 0.1},,0.05,299
LinUCB (non_incremental),21,0.0702341137123745,0.0905690193176269,{'alpha': 0.5},,0.05,299
LinUCB (non_incremental),22,0.0735785953177257,0.1022701263427734,{'alpha': 1},,0.05,299
LinUCB (non_incremental),19,0.0635451505016722,0.0886788368225097,{'alpha': 1.5},,0.05,299
LinUCB (non_incremental),17,0.0568561872909698,0.0806422233581543,{'alpha': 2},,0.05,299
LinGreedy (non_incremental),22,0.0735785953177257,0.0706667900085449,{'epsilon': 0.01},,0.05,299
LinGreedy (non_incremental),21,0.0702341137123745,0.0776703357696533,{'epsilon': 0.05},,0.05,299
LinGreedy (non_incremental),22,0.0735785953177257,0.0659427642822265,{'epsilon': 0.1},,0.05,299
LinGreedy (non_incremental),17,0.0568561872909698,0.0558412075042724,{'epsilon': 0.25},,0.05,299
LinGreedy (non_incremental),20,0.0668896321070234,0.077775239944458,{'epsilon': 0.5},,0.05,299
LinUCB (incremental),17,0.0568561872909698,9.878619194030762,{'alpha': 0.1},10.0,0.05,299
LinUCB (incremental),20,0.0668896321070234,11.60720181465149,{'alpha': 0.5},10.0,0.05,299
LinUCB (incremental),19,0.0635451505016722,10.025657892227173,{'alpha': 1},10.0,0.05,299
LinUCB (incremental),18,0.060200668896321,9.174749612808228,{'alpha': 1.5},10.0,0.05,299
LinUCB (incremental),17,0.0568561872909698,9.066745519638062,{'alpha': 2},10.0,0.05,299
LinGreedy (incremental),18,0.060200668896321,8.758265972137451,{'epsilon': 0.01},10.0,0.05,299
LinGreedy (incremental),15,0.0501672240802675,9.601714849472046,{'epsilon': 0.05},10.0,0.05,299
LinGreedy (incremental),19,0.0635451505016722,8.684364318847656,{'epsilon': 0.1},10.0,0.05,299
LinGreedy (incremental),16,0.0535117056856187,9.013056755065918,{'epsilon': 0.25},10.0,0.05,299
LinGreedy (incremental),20,0.0668896321070234,9.072866916656494,{'epsilon': 0.5},10.0,0.05,299
LinUCB (incremental),16,0.0535117056856187,1.273228883743286,{'alpha': 0.1},100.0,0.05,299
LinUCB (incremental),18,0.060200668896321,1.9804322719573972,{'alpha': 0.5},100.0,0.05,299
LinUCB (incremental),18,0.060200668896321,2.574270009994507,{'alpha': 1},100.0,0.05,299
LinUCB (incremental),15,0.0501672240802675,1.46291184425354,{'alpha': 1.5},100.0,0.05,299
LinUCB (incremental),15,0.0501672240802675,1.3804824352264404,{'alpha': 2},100.0,0.05,299
LinGreedy (incremental),18,0.060200668896321,1.1303730010986328,{'epsilon': 0.01},100.0,0.05,299
LinGreedy (incremental),19,0.0635451505016722,1.3571221828460691,{'epsilon': 0.05},100.0,0.05,299
LinGreedy (incremental),19,0.0635451505016722,1.3542108535766602,{'epsilon': 0.1},100.0,0.05,299
LinGreedy (incremental),18,0.060200668896321,1.5124180316925049,{'epsilon': 0.25},100.0,0.05,299
LinGreedy (incremental),16,0.0535117056856187,1.173670768737793,{'epsilon': 0.5},100.0,0.05,299
LinUCB (incremental),18,0.060200668896321,0.2485196590423584,{'alpha': 0.1},1000.0,0.05,299
LinUCB (incremental),17,0.0568561872909698,0.3166768550872803,{'alpha': 0.5},1000.0,0.05,299
LinUCB (incremental),18,0.060200668896321,0.2635188102722168,{'alpha': 1},1000.0,0.05,299
LinUCB (incremental),16,0.0535117056856187,0.2262854576110839,{'alpha': 1.5},1000.0,0.05,299
LinUCB (incremental),13,0.0434782608695652,0.2345960140228271,{'alpha': 2},1000.0,0.05,299
LinGreedy (incremental),18,0.060200668896321,0.2184927463531494,{'epsilon': 0.01},1000.0,0.05,299
LinGreedy (incremental),18,0.060200668896321,0.2114248275756836,{'epsilon': 0.05},1000.0,0.05,299
LinGreedy (incremental),22,0.0735785953177257,0.1877439022064209,{'epsilon': 0.1},1000.0,0.05,299
LinGreedy (incremental),13,0.0434782608695652,0.2255058288574218,{'epsilon': 0.25},1000.0,0.05,299
LinGreedy (incremental),15,0.0501672240802675,0.2176239490509033,{'epsilon': 0.5},1000.0,0.05,299
ALS,82,0.131621187800963,0.5150642395019531,{},,0.1,623
LinUCB (non_incremental),49,0.0786516853932584,0.173936128616333,{'alpha': 0.1},,0.1,623
LinUCB (non_incremental),47,0.0754414125200642,0.1868162155151367,{'alpha': 0.5},,0.1,623
LinUCB (non_incremental),47,0.0754414125200642,0.1799075603485107,{'alpha': 1},,0.1,623
LinUCB (non_incremental),46,0.0738362760834671,0.2186436653137207,{'alpha': 1.5},,0.1,623
LinUCB (non_incremental),39,0.0626003210272873,0.1794228553771972,{'alpha': 2},,0.1,623
LinGreedy (non_incremental),48,0.0770465489566613,0.1333348751068115,{'epsilon': 0.01},,0.1,623
LinGreedy (non_incremental),46,0.0738362760834671,0.1699516773223877,{'epsilon': 0.05},,0.1,623
LinGreedy (non_incremental),50,0.0802568218298555,0.1622514724731445,{'epsilon': 0.1},,0.1,623
LinGreedy (non_incremental),44,0.0706260032102728,0.1808264255523681,{'epsilon': 0.25},,0.1,623
LinGreedy (non_incremental),39,0.0626003210272873,0.1920764446258545,{'epsilon': 0.5},,0.1,623
LinUCB (incremental),54,0.0866773675762439,24.71163821220398,{'alpha': 0.1},10.0,0.1,623
LinUCB (incremental),53,0.0850722311396468,16.846152305603027,{'alpha': 0.5},10.0,0.1,623
LinUCB (incremental),43,0.0690208667736757,15.21562361717224,{'alpha': 1},10.0,0.1,623
LinUCB (incremental),41,0.0658105939004815,17.567851781845093,{'alpha': 1.5},10.0,0.1,623
LinUCB (incremental),38,0.0609951845906902,18.77863097190857,{'alpha': 2},10.0,0.1,623
LinGreedy (incremental),52,0.0834670947030497,14.217331409454346,{'epsilon': 0.01},10.0,0.1,623
LinGreedy (incremental),51,0.0818619582664526,12.618903398513794,{'epsilon': 0.05},10.0,0.1,623
