algorithm,hits,hr,time,factors,weighted,test_size,test_interactions
ALS,768,0.09318126668284397,3.2893996238708496,2,True,0.95,8242
ALS,734,0.08905605435573889,3.6973602771759033,2,False,0.95,8242
BPR,457,0.055447706867265224,3.5944340229034424,2,True,0.95,8242
BPR,470,0.057024993933511285,3.679222822189331,2,False,0.95,8242
ALS,781,0.09475855374909002,3.431702136993408,4,True,0.95,8242
ALS,741,0.08990536277602523,3.2096264362335205,4,False,0.95,8242
BPR,485,0.05884494054841058,3.7459301948547363,4,True,0.95,8242
BPR,481,0.0583596214511041,4.129288196563721,4,False,0.95,8242
ALS,752,0.09123999029361805,3.4185099601745605,8,True,0.95,8242
ALS,748,0.09075467119631157,3.2272684574127197,8,False,0.95,8242
BPR,558,0.06770201407425382,3.5937869548797607,8,True,0.95,8242
BPR,564,0.06842999272021354,3.670470714569092,8,False,0.95,8242
ALS,689,0.083596214511041,3.2977006435394287,16,True,0.95,8242
ALS,736,0.08929871390439213,3.351844549179077,16,False,0.95,8242
BPR,518,0.06284882310118903,3.5794517993927,16,True,0.95,8242
BPR,516,0.06260616355253579,3.6999030113220215,16,False,0.95,8242
ALS,663,0.0804416403785489,3.4527230262756348,32,True,0.95,8242
ALS,676,0.08201892744479496,3.3792247772216797,32,False,0.95,8242
BPR,444,0.05387041980101917,3.6922318935394287,32,True,0.95,8242
BPR,441,0.05350643047803931,3.719362497329712,32,False,0.95,8242
ALS,586,0.07109924775539918,5.374274015426636,64,True,0.95,8242
ALS,639,0.07752972579471003,5.562713384628296,64,False,0.95,8242
BPR,411,0.049866537248240715,5.654022693634033,64,True,0.95,8242
BPR,413,0.050109196796893955,5.87379789352417,64,False,0.95,8242
ALS,436,0.05289978160640621,5.670182466506958,128,True,0.95,8242
ALS,408,0.04950254792526086,5.582576274871826,128,False,0.95,8242
BPR,456,0.055326377092938604,5.855687618255615,128,True,0.95,8242
BPR,462,0.056054355738898325,6.153719663619995,128,False,0.95,8242
ALS,590,0.07158456685270566,5.756039381027222,256,True,0.95,8242
ALS,504,0.061150206260616354,6.200668096542358,256,False,0.95,8242
BPR,490,0.05945158942004368,5.976381063461304,256,True,0.95,8242
BPR,507,0.061514195583596214,5.727622032165527,256,False,0.95,8242
ALS,569,0.06903664159184664,5.831882476806641,512,True,0.95,8242
ALS,451,0.05471972822130551,5.8678929805755615,512,False,0.95,8242
BPR,493,0.05981557874302354,5.744269609451294,512,True,0.95,8242
BPR,492,0.05969424896869692,5.6911444664001465,512,False,0.95,8242
