algorithm,hits,hr,time,factors,test_size,test_interactions
ALS,36,0.12040133779264214,0.290088415145874,2.0,0.05,299
LinUCB (non_incremental),23,0.07692307692307693,0.09418129920959473,2.0,0.05,299
LinGreedy (non_incremental),21,0.07023411371237458,0.07612991333007812,2.0,0.05,299
LinUCB (incremental),35,0.11705685618729098,6.8806068897247314,2.0,0.05,299
LinGreedy (incremental),35,0.11705685618729098,6.30257248878479,2.0,0.05,299
ALS,46,0.15384615384615385,0.20462632179260254,4.0,0.05,299
LinUCB (non_incremental),28,0.09364548494983277,0.06569075584411621,4.0,0.05,299
LinGreedy (non_incremental),27,0.0903010033444816,0.05491948127746582,4.0,0.05,299
LinUCB (incremental),30,0.10033444816053512,7.400394678115845,4.0,0.05,299
LinGreedy (incremental),30,0.10033444816053512,6.401952266693115,4.0,0.05,299
ALS,43,0.14381270903010032,0.19486165046691895,8.0,0.05,299
LinUCB (non_incremental),27,0.0903010033444816,0.06722378730773926,8.0,0.05,299
LinGreedy (non_incremental),27,0.0903010033444816,0.0623166561126709,8.0,0.05,299
LinUCB (incremental),24,0.0802675585284281,7.4936842918396,8.0,0.05,299
LinGreedy (incremental),25,0.08361204013377926,6.865816593170166,8.0,0.05,299
ALS,47,0.15719063545150502,0.16791558265686035,16.0,0.05,299
LinUCB (non_incremental),18,0.06020066889632107,0.06770682334899902,16.0,0.05,299
LinGreedy (non_incremental),17,0.056856187290969896,0.06842041015625,16.0,0.05,299
LinUCB (incremental),20,0.06688963210702341,7.417006492614746,16.0,0.05,299
LinGreedy (incremental),22,0.07357859531772576,7.372335910797119,16.0,0.05,299
ALS,36,0.12040133779264214,0.1413106918334961,32.0,0.05,299
LinUCB (non_incremental),18,0.06020066889632107,0.1253507137298584,32.0,0.05,299
LinGreedy (non_incremental),17,0.056856187290969896,0.07804203033447266,32.0,0.05,299
LinUCB (incremental),10,0.033444816053511704,12.529563665390015,32.0,0.05,299
LinGreedy (incremental),9,0.030100334448160536,8.064387321472168,32.0,0.05,299
ALS,23,0.07692307692307693,0.23111367225646973,64.0,0.05,299
LinUCB (non_incremental),8,0.026755852842809364,0.1724700927734375,64.0,0.05,299
LinGreedy (non_incremental),8,0.026755852842809364,0.07795405387878418,64.0,0.05,299
LinUCB (incremental),9,0.030100334448160536,11.443049430847168,64.0,0.05,299
LinGreedy (incremental),9,0.030100334448160536,9.184248685836792,64.0,0.05,299
ALS,17,0.056856187290969896,0.18292021751403809,128.0,0.05,299
LinUCB (non_incremental),9,0.030100334448160536,0.18530702590942383,128.0,0.05,299
LinGreedy (non_incremental),14,0.046822742474916385,0.07983565330505371,128.0,0.05,299
LinUCB (incremental),8,0.026755852842809364,14.56249475479126,128.0,0.05,299
LinGreedy (incremental),8,0.026755852842809364,12.711575031280518,128.0,0.05,299
ALS,26,0.08695652173913043,0.2171034812927246,256.0,0.05,299
LinUCB (non_incremental),14,0.046822742474916385,0.30208754539489746,256.0,0.05,299
LinGreedy (non_incremental),16,0.05351170568561873,0.09286904335021973,256.0,0.05,299
LinUCB (incremental),9,0.030100334448160536,30.771658897399902,256.0,0.05,299
LinGreedy (incremental),10,0.033444816053511704,24.868603229522705,256.0,0.05,299
ALS,27,0.0903010033444816,0.19685816764831543,512.0,0.05,299
LinUCB (non_incremental),12,0.04013377926421405,0.8986787796020508,512.0,0.05,299
LinGreedy (non_incremental),15,0.05016722408026756,0.2191934585571289,512.0,0.05,299
LinUCB (incremental),7,0.023411371237458192,127.79557251930237,512.0,0.05,299
LinGreedy (incremental),10,0.033444816053511704,208.17461371421814,512.0,0.05,299
Random,17,0.056856187290969896,0.10252141952514648,,0.05,299
