algorithm,hits,hr,time,factors,test_size,test_interactions
ALS,36,0.1204013377926421,0.290088415145874,2.0,0.05,299
LinUCB (non_incremental),23,0.0769230769230769,0.0941812992095947,2.0,0.05,299
LinGreedy (non_incremental),21,0.0702341137123745,0.0761299133300781,2.0,0.05,299
LinUCB (incremental),35,0.1170568561872909,6.8806068897247314,2.0,0.05,299
LinGreedy (incremental),35,0.1170568561872909,6.30257248878479,2.0,0.05,299
ALS,46,0.1538461538461538,0.2046263217926025,4.0,0.05,299
LinUCB (non_incremental),28,0.0936454849498327,0.0656907558441162,4.0,0.05,299
LinGreedy (non_incremental),27,0.0903010033444816,0.0549194812774658,4.0,0.05,299
LinUCB (incremental),30,0.1003344481605351,7.400394678115845,4.0,0.05,299
LinGreedy (incremental),30,0.1003344481605351,6.401952266693115,4.0,0.05,299
ALS,43,0.1438127090301003,0.1948616504669189,8.0,0.05,299
LinUCB (non_incremental),27,0.0903010033444816,0.0672237873077392,8.0,0.05,299
LinGreedy (non_incremental),27,0.0903010033444816,0.0623166561126709,8.0,0.05,299
LinUCB (incremental),24,0.0802675585284281,7.4936842918396,8.0,0.05,299
LinGreedy (incremental),25,0.0836120401337792,6.865816593170166,8.0,0.05,299
ALS,47,0.157190635451505,0.1679155826568603,16.0,0.05,299
LinUCB (non_incremental),18,0.060200668896321,0.067706823348999,16.0,0.05,299
LinGreedy (non_incremental),17,0.0568561872909698,0.06842041015625,16.0,0.05,299
LinUCB (incremental),20,0.0668896321070234,7.417006492614746,16.0,0.05,299
LinGreedy (incremental),22,0.0735785953177257,7.372335910797119,16.0,0.05,299
ALS,36,0.1204013377926421,0.1413106918334961,32.0,0.05,299
LinUCB (non_incremental),18,0.060200668896321,0.1253507137298584,32.0,0.05,299
LinGreedy (non_incremental),17,0.0568561872909698,0.0780420303344726,32.0,0.05,299
LinUCB (incremental),10,0.0334448160535117,12.529563665390016,32.0,0.05,299
LinGreedy (incremental),9,0.0301003344481605,8.064387321472168,32.0,0.05,299
ALS,23,0.0769230769230769,0.2311136722564697,64.0,0.05,299
LinUCB (non_incremental),8,0.0267558528428093,0.1724700927734375,64.0,0.05,299
LinGreedy (non_incremental),8,0.0267558528428093,0.0779540538787841,64.0,0.05,299
LinUCB (incremental),9,0.0301003344481605,11.443049430847168,64.0,0.05,299
LinGreedy (incremental),9,0.0301003344481605,9.184248685836792,64.0,0.05,299
ALS,17,0.0568561872909698,0.182920217514038,128.0,0.05,299
LinUCB (non_incremental),9,0.0301003344481605,0.1853070259094238,128.0,0.05,299
LinGreedy (non_incremental),14,0.0468227424749163,0.0798356533050537,128.0,0.05,299
LinUCB (incremental),8,0.0267558528428093,14.56249475479126,128.0,0.05,299
