algorithm,hits,hr,time,factors,weighted,test_size,test_interactions
ALS,36,0.1204013377926421,0.3955109119415283,2,True,0.05,299
ALS,61,0.2040133779264214,0.2919414043426513,2,False,0.05,299
BPR,55,0.1839464882943143,0.4799580574035644,2,True,0.05,299
BPR,56,0.1872909698996655,0.4332129955291748,2,False,0.05,299
ALS,46,0.1538461538461538,0.3752329349517822,4,True,0.05,299
ALS,58,0.1939799331103679,0.3503613471984863,4,False,0.05,299
BPR,39,0.1304347826086956,0.4680187702178955,4,True,0.05,299
BPR,38,0.1270903010033444,0.2458934783935547,4,False,0.05,299
ALS,43,0.1438127090301003,0.2199573516845703,8,True,0.05,299
ALS,48,0.1605351170568562,0.2571520805358886,8,False,0.05,299
BPR,38,0.1270903010033444,0.3147571086883545,8,True,0.05,299
BPR,37,0.1237458193979933,0.5150322914123535,8,False,0.05,299
ALS,47,0.157190635451505,0.3659210205078125,16,True,0.05,299
ALS,40,0.1337792642140468,0.6827092170715332,16,False,0.05,299
BPR,37,0.1237458193979933,0.4111330509185791,16,True,0.05,299
BPR,38,0.1270903010033444,0.3175840377807617,16,False,0.05,299
ALS,36,0.1204013377926421,0.3345496654510498,32,True,0.05,299
ALS,34,0.1137123745819397,0.2621171474456787,32,False,0.05,299
BPR,42,0.1404682274247491,0.5125732421875,32,True,0.05,299
BPR,42,0.1404682274247491,0.2954158782958984,32,False,0.05,299
ALS,23,0.0769230769230769,0.4487404823303222,64,True,0.05,299
ALS,17,0.0568561872909698,0.4320290088653564,64,False,0.05,299
BPR,39,0.1304347826086956,0.3020303249359131,64,True,0.05,299
BPR,40,0.1337792642140468,0.4617178440093994,64,False,0.05,299
ALS,17,0.0568561872909698,0.3914952278137207,128,True,0.05,299
ALS,16,0.0535117056856187,0.4871668815612793,128,False,0.05,299
BPR,43,0.1438127090301003,0.2516205310821533,128,True,0.05,299
BPR,43,0.1438127090301003,0.2803850173950195,128,False,0.05,299
ALS,26,0.0869565217391304,0.3366472721099853,256,True,0.05,299
ALS,24,0.0802675585284281,0.4185678958892822,256,False,0.05,299
BPR,48,0.1605351170568562,0.328505277633667,256,True,0.05,299
BPR,48,0.1605351170568562,0.3375718593597412,256,False,0.05,299
ALS,27,0.0903010033444816,0.3072853088378906,512,True,0.05,299
ALS,19,0.0635451505016722,0.3093852996826172,512,False,0.05,299
BPR,36,0.1204013377926421,0.4348142147064209,512,True,0.05,299
BPR,38,0.1270903010033444,0.3020141124725342,512,False,0.05,299
ALS,69,0.1107544141252006,0.4198341369628906,2,True,0.1,623
ALS,114,0.1829855537720706,0.551276683807373,2,False,0.1,623
BPR,87,0.1396468699839486,0.3924674987792969,2,True,0.1,623
BPR,89,0.1428571428571428,0.4547841548919678,2,False,0.1,623
ALS,77,0.1235955056179775,0.4668300151824951,4,True,0.1,623
ALS,87,0.1396468699839486,0.4009115695953369,4,False,0.1,623
BPR,66,0.1059390048154093,0.4507234096527099,4,True,0.1,623
BPR,65,0.1043338683788122,0.4730134010314941,4,False,0.1,623
ALS,84,0.1348314606741573,0.7095835208892822,8,True,0.1,623
ALS,81,0.1300160513643659,0.6790933609008789,8,False,0.1,623
BPR,67,0.1075441412520064,0.5788364410400391,8,True,0.1,623
BPR,65,0.1043338683788122,0.5972647666931152,8,False,0.1,623
ALS,89,0.1428571428571428,0.5341553688049316,16,True,0.1,623
ALS,85,0.1364365971107544,0.3910856246948242,16,False,0.1,623
BPR,59,0.0947030497592295,0.5534300804138184,16,True,0.1,623
BPR,59,0.0947030497592295,0.5982227325439453,16,False,0.1,623
ALS,64,0.102728731942215,0.6134512424468994,32,True,0.1,623
ALS,59,0.0947030497592295,0.8647258281707764,32,False,0.1,623
BPR,63,0.1011235955056179,0.9912126064300536,32,True,0.1,623
BPR,63,0.1011235955056179,0.6694972515106201,32,False,0.1,623
ALS,38,0.0609951845906902,0.8200833797454834,64,True,0.1,623
ALS,37,0.0593900481540931,0.6810493469238281,64,False,0.1,623
BPR,60,0.0963081861958266,0.792647123336792,64,True,0.1,623
BPR,57,0.0914927768860353,0.5881891250610352,64,False,0.1,623
ALS,34,0.0545746388443017,0.6391324996948242,128,True,0.1,623
ALS,34,0.0545746388443017,0.9011070728302002,128,False,0.1,623
BPR,65,0.1043338683788122,0.7517118453979492,128,True,0.1,623
BPR,65,0.1043338683788122,0.8392515182495117,128,False,0.1,623
ALS,49,0.0786516853932584,0.8412129878997803,256,True,0.1,623
