algorithm,hits,hr,time,train_size,test_size,test_interactions
ALS,63,0.10732538330494037,0.5786917209625244,0.0,0.1,587
BPR,43,0.07325383304940375,0.30198216438293457,0.0,0.1,587
LinUCB - non-incremental - ALS embeddings,36,0.06132879045996593,0.18130922317504883,0.0,0.1,587
LinUCB - non-incremental - BPR embeddings,34,0.05792163543441227,0.16016602516174316,0.0,0.1,587
LinUCB - incremental - ALS embeddings,36,0.06132879045996593,17.450671434402466,0.0,0.1,587
LinUCB - incremental - BPR embeddings,32,0.054514480408858604,14.995376825332642,0.0,0.1,587
LinGreedy - non-incremental - ALS embeddings,37,0.06303236797274275,0.09516406059265137,0.0,0.1,587
LinGreedy - non-incremental - BPR embeddings,36,0.06132879045996593,0.09900736808776855,0.0,0.1,587
LinGreedy - incremental - ALS embeddings,35,0.059625212947189095,13.575803518295288,0.0,0.1,587
LinGreedy - incremental - BPR embeddings,33,0.056218057921635436,13.428717136383057,0.0,0.1,587
ALS,71,0.12095400340715502,0.3304269313812256,0.1,0.1,587
BPR,39,0.06643952299829642,0.333723783493042,0.1,0.1,587
LinUCB - non-incremental - ALS embeddings,38,0.06473594548551959,0.11920356750488281,0.1,0.1,587
LinUCB - non-incremental - BPR embeddings,31,0.05281090289608177,0.11604666709899902,0.1,0.1,587
LinUCB - incremental - ALS embeddings,36,0.06132879045996593,14.244478702545166,0.1,0.1,587
LinUCB - incremental - BPR embeddings,36,0.06132879045996593,14.574114799499512,0.1,0.1,587
LinGreedy - non-incremental - ALS embeddings,40,0.06814310051107325,0.10005378723144531,0.1,0.1,587
LinGreedy - non-incremental - BPR embeddings,33,0.056218057921635436,0.10024476051330566,0.1,0.1,587
LinGreedy - incremental - ALS embeddings,36,0.06132879045996593,13.696292877197266,0.1,0.1,587
LinGreedy - incremental - BPR embeddings,38,0.06473594548551959,13.483482360839844,0.1,0.1,587
ALS,72,0.12265758091993186,0.27456021308898926,0.2,0.1,587
BPR,42,0.07155025553662692,0.36241817474365234,0.2,0.1,587
LinUCB - non-incremental - ALS embeddings,36,0.06132879045996593,0.1283555030822754,0.2,0.1,587
LinUCB - non-incremental - BPR embeddings,32,0.054514480408858604,0.19133806228637695,0.2,0.1,587
LinUCB - incremental - ALS embeddings,36,0.06132879045996593,14.495983362197876,0.2,0.1,587
LinUCB - incremental - BPR embeddings,34,0.05792163543441227,14.417735815048218,0.2,0.1,587
LinGreedy - non-incremental - ALS embeddings,39,0.06643952299829642,0.15932083129882812,0.2,0.1,587
LinGreedy - non-incremental - BPR embeddings,35,0.059625212947189095,0.09835958480834961,0.2,0.1,587
LinGreedy - incremental - ALS embeddings,36,0.06132879045996593,14.572442293167114,0.2,0.1,587
LinGreedy - incremental - BPR embeddings,36,0.06132879045996593,13.634809732437134,0.2,0.1,587
ALS,75,0.12776831345826234,0.26582860946655273,0.3,0.1,587
BPR,37,0.06303236797274275,0.3314478397369385,0.3,0.1,587
