algorithm,hits,hr,time,train_size,test_size,test_interactions
ALS,69,0.11754684838160136,0.3088712692260742,0.5,0.1,587
BPR,46,0.07836456558773425,0.32349133491516113,0.5,0.1,587
LinUCB - non-incremental - ALS embeddings,51,0.0868824531516184,0.10190463066101074,0.5,0.1,587
LinUCB - non-incremental - BPR embeddings,39,0.06643952299829642,0.10189676284790039,0.5,0.1,587
LinUCB - incremental - ALS embeddings,49,0.08347529812606473,14.354144096374512,0.5,0.1,587
LinUCB - incremental - BPR embeddings,38,0.06473594548551959,12.671764612197876,0.5,0.1,587
LinGreedy - non-incremental - ALS embeddings,53,0.09028960817717206,0.08126449584960938,0.5,0.1,587
LinGreedy - non-incremental - BPR embeddings,39,0.06643952299829642,0.0971686840057373,0.5,0.1,587
LinGreedy - incremental - ALS embeddings,47,0.08006814310051108,11.97471308708191,0.5,0.1,587
LinGreedy - incremental - BPR embeddings,39,0.06643952299829642,12.231243371963501,0.5,0.1,587
ALS,81,0.13798977853492334,0.23902320861816406,1.0,0.1,587
BPR,59,0.10051107325383304,0.2857942581176758,1.0,0.1,587
LinUCB - non-incremental - ALS embeddings,37,0.06303236797274275,0.11832475662231445,1.0,0.1,587
LinUCB - non-incremental - BPR embeddings,37,0.06303236797274275,0.10849761962890625,1.0,0.1,587
LinUCB - incremental - ALS embeddings,37,0.06303236797274275,13.52005934715271,1.0,0.1,587
LinUCB - incremental - BPR embeddings,37,0.06303236797274275,15.412064552307129,1.0,0.1,587
LinGreedy - non-incremental - ALS embeddings,37,0.06303236797274275,0.10007381439208984,1.0,0.1,587
LinGreedy - non-incremental - BPR embeddings,37,0.06303236797274275,0.09640717506408691,1.0,0.1,587
LinGreedy - incremental - ALS embeddings,37,0.06303236797274275,14.10426640510559,1.0,0.1,587
LinGreedy - incremental - BPR embeddings,37,0.06303236797274275,12.176189184188843,1.0,0.1,587
