algorithm,hits,hr,time,train_size,test_size,test_interactions
LinUCB - ALS embeddings - 1,54,0.0919931856899489,0.1797351837158203,0.0,0.1,587
LinUCB - BPR embeddings - 1,32,0.054514480408858604,0.17377305030822754,0.0,0.1,587
LinGreedy - ALS embeddings - 1,56,0.09540034071550256,0.1211400032043457,0.0,0.1,587
LinGreedy - BPR embeddings - 1,39,0.06643952299829642,0.1364123821258545,0.0,0.1,587
LinUCB - ALS embeddings - 2,52,0.08858603066439523,0.1875777244567871,0.0,0.1,587
LinUCB - BPR embeddings - 2,39,0.06643952299829642,0.18685293197631836,0.0,0.1,587
LinGreedy - ALS embeddings - 2,56,0.09540034071550256,0.12904787063598633,0.0,0.1,587
LinGreedy - BPR embeddings - 2,40,0.06814310051107325,0.12003421783447266,0.0,0.1,587
LinUCB - ALS embeddings - 3,60,0.10221465076660988,0.18178629875183105,0.0,0.1,587
LinUCB - BPR embeddings - 3,37,0.06303236797274275,0.21645712852478027,0.0,0.1,587
LinGreedy - ALS embeddings - 3,60,0.10221465076660988,0.12081480026245117,0.0,0.1,587
LinGreedy - BPR embeddings - 3,39,0.06643952299829642,0.12492847442626953,0.0,0.1,587
LinUCB - ALS embeddings - 4,55,0.09369676320272573,0.21137452125549316,0.0,0.1,587
LinUCB - BPR embeddings - 4,37,0.06303236797274275,0.1986093521118164,0.0,0.1,587
LinGreedy - ALS embeddings - 4,59,0.10051107325383304,0.12714862823486328,0.0,0.1,587
LinGreedy - BPR embeddings - 4,37,0.06303236797274275,0.12807011604309082,0.0,0.1,587
LinUCB - ALS embeddings - 5,54,0.0919931856899489,0.20676779747009277,0.0,0.1,587
LinUCB - BPR embeddings - 5,37,0.06303236797274275,0.2097628116607666,0.0,0.1,587
LinGreedy - ALS embeddings - 5,56,0.09540034071550256,0.12853026390075684,0.0,0.1,587
LinGreedy - BPR embeddings - 5,41,0.06984667802385008,0.14207744598388672,0.0,0.1,587
LinUCB - ALS embeddings - 6,55,0.09369676320272573,0.22187185287475586,0.0,0.1,587
LinUCB - BPR embeddings - 6,34,0.05792163543441227,0.24656152725219727,0.0,0.1,587
LinGreedy - ALS embeddings - 6,56,0.09540034071550256,0.1291642189025879,0.0,0.1,587
LinGreedy - BPR embeddings - 6,36,0.06132879045996593,0.1260361671447754,0.0,0.1,587
LinUCB - ALS embeddings - 7,52,0.08858603066439523,0.25610780715942383,0.0,0.1,587
LinUCB - BPR embeddings - 7,44,0.07495741056218058,0.2504136562347412,0.0,0.1,587
LinGreedy - ALS embeddings - 7,54,0.0919931856899489,0.1313936710357666,0.0,0.1,587
LinGreedy - BPR embeddings - 7,45,0.07666098807495741,0.1280379295349121,0.0,0.1,587
LinUCB - ALS embeddings - 8,53,0.09028960817717206,0.2651331424713135,0.0,0.1,587
LinUCB - BPR embeddings - 8,48,0.0817717206132879,0.25220370292663574,0.0,0.1,587
LinGreedy - ALS embeddings - 8,55,0.09369676320272573,0.13106536865234375,0.0,0.1,587
LinGreedy - BPR embeddings - 8,55,0.09369676320272573,0.13254833221435547,0.0,0.1,587
LinUCB - ALS embeddings - 9,62,0.10562180579216354,0.282973051071167,0.0,0.1,587
LinUCB - BPR embeddings - 9,61,0.10391822827938671,0.36376285552978516,0.0,0.1,587
LinGreedy - ALS embeddings - 9,61,0.10391822827938671,0.1409893035888672,0.0,0.1,587
LinGreedy - BPR embeddings - 9,59,0.10051107325383304,0.14003944396972656,0.0,0.1,587
LinUCB - ALS embeddings - 10,63,0.10732538330494037,0.297011137008667,0.0,0.1,587
LinUCB - BPR embeddings - 10,66,0.11243611584327087,0.29761242866516113,0.0,0.1,587
LinGreedy - ALS embeddings - 10,61,0.10391822827938671,0.1371164321899414,0.0,0.1,587
LinGreedy - BPR embeddings - 10,69,0.11754684838160136,0.1375420093536377,0.0,0.1,587
LinUCB - ALS embeddings - 1,58,0.09880749574105621,0.18147039413452148,0.1,0.1,587
LinUCB - BPR embeddings - 1,37,0.06303236797274275,0.18632888793945312,0.1,0.1,587
LinGreedy - ALS embeddings - 1,59,0.10051107325383304,0.12303853034973145,0.1,0.1,587
LinGreedy - BPR embeddings - 1,39,0.06643952299829642,0.12400341033935547,0.1,0.1,587
LinUCB - ALS embeddings - 2,55,0.09369676320272573,0.24203848838806152,0.1,0.1,587
LinUCB - BPR embeddings - 2,36,0.06132879045996593,0.18994379043579102,0.1,0.1,587
LinGreedy - ALS embeddings - 2,58,0.09880749574105621,0.1268308162689209,0.1,0.1,587
LinGreedy - BPR embeddings - 2,43,0.07325383304940375,0.1252303123474121,0.1,0.1,587
LinUCB - ALS embeddings - 3,64,0.10902896081771721,0.2036275863647461,0.1,0.1,587
LinUCB - BPR embeddings - 3,39,0.06643952299829642,0.23944664001464844,0.1,0.1,587
LinGreedy - ALS embeddings - 3,67,0.1141396933560477,0.1260056495666504,0.1,0.1,587
LinGreedy - BPR embeddings - 3,44,0.07495741056218058,0.127579927444458,0.1,0.1,587
LinUCB - ALS embeddings - 4,61,0.10391822827938671,0.214555025100708,0.1,0.1,587
LinUCB - BPR embeddings - 4,38,0.06473594548551959,0.2161695957183838,0.1,0.1,587
LinGreedy - ALS embeddings - 4,63,0.10732538330494037,0.14016056060791016,0.1,0.1,587
LinGreedy - BPR embeddings - 4,47,0.08006814310051108,0.1320359706878662,0.1,0.1,587
LinUCB - ALS embeddings - 5,60,0.10221465076660988,0.23725628852844238,0.1,0.1,587
LinUCB - BPR embeddings - 5,42,0.07155025553662692,0.2345142364501953,0.1,0.1,587
LinGreedy - ALS embeddings - 5,63,0.10732538330494037,0.13284015655517578,0.1,0.1,587
LinGreedy - BPR embeddings - 5,46,0.07836456558773425,0.12880873680114746,0.1,0.1,587
LinUCB - ALS embeddings - 6,61,0.10391822827938671,0.2408158779144287,0.1,0.1,587
LinUCB - BPR embeddings - 6,39,0.06643952299829642,0.24917936325073242,0.1,0.1,587
LinGreedy - ALS embeddings - 6,63,0.10732538330494037,0.13568401336669922,0.1,0.1,587
LinGreedy - BPR embeddings - 6,43,0.07325383304940375,0.13601231575012207,0.1,0.1,587
LinUCB - ALS embeddings - 7,58,0.09880749574105621,0.28458595275878906,0.1,0.1,587
LinUCB - BPR embeddings - 7,45,0.07666098807495741,0.274183988571167,0.1,0.1,587
LinGreedy - ALS embeddings - 7,60,0.10221465076660988,0.15675616264343262,0.1,0.1,587
LinGreedy - BPR embeddings - 7,52,0.08858603066439523,0.13145041465759277,0.1,0.1,587
LinUCB - ALS embeddings - 8,58,0.09880749574105621,0.26466989517211914,0.1,0.1,587
LinUCB - BPR embeddings - 8,46,0.07836456558773425,0.2687215805053711,0.1,0.1,587
LinGreedy - ALS embeddings - 8,61,0.10391822827938671,0.14200711250305176,0.1,0.1,587
LinGreedy - BPR embeddings - 8,47,0.08006814310051108,0.14203166961669922,0.1,0.1,587
LinUCB - ALS embeddings - 9,65,0.11073253833049404,0.3049204349517822,0.1,0.1,587
LinUCB - BPR embeddings - 9,58,0.09880749574105621,0.318772554397583,0.1,0.1,587
LinGreedy - ALS embeddings - 9,64,0.10902896081771721,0.15005874633789062,0.1,0.1,587
LinGreedy - BPR embeddings - 9,56,0.09540034071550256,0.1375260353088379,0.1,0.1,587
LinUCB - ALS embeddings - 10,59,0.10051107325383304,0.33470964431762695,0.1,0.1,587
LinUCB - BPR embeddings - 10,54,0.0919931856899489,0.32790303230285645,0.1,0.1,587
LinGreedy - ALS embeddings - 10,57,0.09710391822827939,0.14343953132629395,0.1,0.1,587
LinGreedy - BPR embeddings - 10,57,0.09710391822827939,0.14080047607421875,0.1,0.1,587
LinUCB - ALS embeddings - 1,61,0.10391822827938671,0.19163203239440918,0.2,0.1,587
LinUCB - BPR embeddings - 1,41,0.06984667802385008,0.18657517433166504,0.2,0.1,587
LinGreedy - ALS embeddings - 1,63,0.10732538330494037,0.127122163772583,0.2,0.1,587
LinGreedy - BPR embeddings - 1,44,0.07495741056218058,0.12889766693115234,0.2,0.1,587
LinUCB - ALS embeddings - 2,63,0.10732538330494037,0.2696418762207031,0.2,0.1,587
LinUCB - BPR embeddings - 2,36,0.06132879045996593,0.22725963592529297,0.2,0.1,587
LinGreedy - ALS embeddings - 2,65,0.11073253833049404,0.1287224292755127,0.2,0.1,587
LinGreedy - BPR embeddings - 2,39,0.06643952299829642,0.12412047386169434,0.2,0.1,587
LinUCB - ALS embeddings - 3,67,0.1141396933560477,0.2075505256652832,0.2,0.1,587
LinUCB - BPR embeddings - 3,34,0.05792163543441227,0.2209181785583496,0.2,0.1,587
LinGreedy - ALS embeddings - 3,68,0.11584327086882454,0.17317414283752441,0.2,0.1,587
LinGreedy - BPR embeddings - 3,38,0.06473594548551959,0.24399161338806152,0.2,0.1,587
LinUCB - ALS embeddings - 4,55,0.09369676320272573,0.2331995964050293,0.2,0.1,587
LinUCB - BPR embeddings - 4,29,0.049403747870528106,0.25100231170654297,0.2,0.1,587
LinGreedy - ALS embeddings - 4,56,0.09540034071550256,0.13620328903198242,0.2,0.1,587
LinGreedy - BPR embeddings - 4,34,0.05792163543441227,0.13576555252075195,0.2,0.1,587
LinUCB - ALS embeddings - 5,59,0.10051107325383304,0.24093246459960938,0.2,0.1,587
LinUCB - BPR embeddings - 5,25,0.04258943781942078,0.22797632217407227,0.2,0.1,587
LinGreedy - ALS embeddings - 5,60,0.10221465076660988,0.14600133895874023,0.2,0.1,587
LinGreedy - BPR embeddings - 5,34,0.05792163543441227,0.178999662399292,0.2,0.1,587
LinUCB - ALS embeddings - 6,59,0.10051107325383304,0.2685670852661133,0.2,0.1,587
LinUCB - BPR embeddings - 6,34,0.05792163543441227,0.29883909225463867,0.2,0.1,587
LinGreedy - ALS embeddings - 6,60,0.10221465076660988,0.15797638893127441,0.2,0.1,587
LinGreedy - BPR embeddings - 6,37,0.06303236797274275,0.13625502586364746,0.2,0.1,587
LinUCB - ALS embeddings - 7,56,0.09540034071550256,0.31563568115234375,0.2,0.1,587
LinUCB - BPR embeddings - 7,40,0.06814310051107325,0.2856724262237549,0.2,0.1,587
LinGreedy - ALS embeddings - 7,55,0.09369676320272573,0.15199995040893555,0.2,0.1,587
LinGreedy - BPR embeddings - 7,42,0.07155025553662692,0.16399812698364258,0.2,0.1,587
LinUCB - ALS embeddings - 8,55,0.09369676320272573,0.2990436553955078,0.2,0.1,587
LinUCB - BPR embeddings - 8,39,0.06643952299829642,0.2996947765350342,0.2,0.1,587
LinGreedy - ALS embeddings - 8,59,0.10051107325383304,0.16300702095031738,0.2,0.1,587
LinGreedy - BPR embeddings - 8,45,0.07666098807495741,0.1679985523223877,0.2,0.1,587
LinUCB - ALS embeddings - 9,52,0.08858603066439523,0.3119995594024658,0.2,0.1,587
LinUCB - BPR embeddings - 9,39,0.06643952299829642,0.3520355224609375,0.2,0.1,587
LinGreedy - ALS embeddings - 9,54,0.0919931856899489,0.1718921661376953,0.2,0.1,587
LinGreedy - BPR embeddings - 9,47,0.08006814310051108,0.16000032424926758,0.2,0.1,587
LinUCB - ALS embeddings - 10,51,0.0868824531516184,0.3450295925140381,0.2,0.1,587
LinUCB - BPR embeddings - 10,45,0.07666098807495741,0.37009406089782715,0.2,0.1,587
LinGreedy - ALS embeddings - 10,54,0.0919931856899489,0.15497207641601562,0.2,0.1,587
LinGreedy - BPR embeddings - 10,49,0.08347529812606473,0.13103508949279785,0.2,0.1,587
LinUCB - ALS embeddings - 1,58,0.09880749574105621,0.17969846725463867,0.3,0.1,587
LinUCB - BPR embeddings - 1,37,0.06303236797274275,0.1751103401184082,0.3,0.1,587
LinGreedy - ALS embeddings - 1,57,0.09710391822827939,0.1172330379486084,0.3,0.1,587
LinGreedy - BPR embeddings - 1,41,0.06984667802385008,0.13502120971679688,0.3,0.1,587
LinUCB - ALS embeddings - 2,64,0.10902896081771721,0.18513107299804688,0.3,0.1,587
LinUCB - BPR embeddings - 2,43,0.07325383304940375,0.2246701717376709,0.3,0.1,587
LinGreedy - ALS embeddings - 2,63,0.10732538330494037,0.12419843673706055,0.3,0.1,587
LinGreedy - BPR embeddings - 2,44,0.07495741056218058,0.12138772010803223,0.3,0.1,587
LinUCB - ALS embeddings - 3,65,0.11073253833049404,0.19967317581176758,0.3,0.1,587
LinUCB - BPR embeddings - 3,37,0.06303236797274275,0.1828165054321289,0.3,0.1,587
LinGreedy - ALS embeddings - 3,66,0.11243611584327087,0.11919236183166504,0.3,0.1,587
LinGreedy - BPR embeddings - 3,39,0.06643952299829642,0.12429928779602051,0.3,0.1,587
LinUCB - ALS embeddings - 4,56,0.09540034071550256,0.2139129638671875,0.3,0.1,587
LinUCB - BPR embeddings - 4,38,0.06473594548551959,0.25529932975769043,0.3,0.1,587
LinGreedy - ALS embeddings - 4,58,0.09880749574105621,0.12446880340576172,0.3,0.1,587
LinGreedy - BPR embeddings - 4,37,0.06303236797274275,0.12954473495483398,0.3,0.1,587
LinUCB - ALS embeddings - 5,52,0.08858603066439523,0.2257227897644043,0.3,0.1,587
LinUCB - BPR embeddings - 5,34,0.05792163543441227,0.22513818740844727,0.3,0.1,587
LinGreedy - ALS embeddings - 5,54,0.0919931856899489,0.12708377838134766,0.3,0.1,587
