algorithm,hits,hr,time,train_size,test_size,test_interactions
LinUCB - ALS embeddings - 1,83,0.141396933560477,0.18574237823486328,0.0,0.1,587
LinUCB - BPR embeddings - 1,33,0.056218057921635436,0.17257475852966309,0.0,0.1,587
LinGreedy - ALS embeddings - 1,84,0.14310051107325383,0.11684083938598633,0.0,0.1,587
LinGreedy - BPR embeddings - 1,33,0.056218057921635436,0.11725401878356934,0.0,0.1,587
LinUCB - ALS embeddings - 2,84,0.14310051107325383,0.1947336196899414,0.0,0.1,587
LinUCB - BPR embeddings - 2,46,0.07836456558773425,0.20873212814331055,0.0,0.1,587
LinGreedy - ALS embeddings - 2,82,0.13969335604770017,0.1285402774810791,0.0,0.1,587
LinGreedy - BPR embeddings - 2,46,0.07836456558773425,0.11474823951721191,0.0,0.1,587
LinUCB - ALS embeddings - 3,87,0.14821124361158433,0.1976778507232666,0.0,0.1,587
LinUCB - BPR embeddings - 3,42,0.07155025553662692,0.1860795021057129,0.0,0.1,587
LinGreedy - ALS embeddings - 3,87,0.14821124361158433,0.12249875068664551,0.0,0.1,587
LinGreedy - BPR embeddings - 3,44,0.07495741056218058,0.12003207206726074,0.0,0.1,587
LinUCB - ALS embeddings - 4,86,0.1465076660988075,0.19634747505187988,0.0,0.1,587
LinUCB - BPR embeddings - 4,42,0.07155025553662692,0.1858382225036621,0.0,0.1,587
LinGreedy - ALS embeddings - 4,85,0.14480408858603067,0.1167750358581543,0.0,0.1,587
LinGreedy - BPR embeddings - 4,45,0.07666098807495741,0.12614703178405762,0.0,0.1,587
LinUCB - ALS embeddings - 5,83,0.141396933560477,0.18334245681762695,0.0,0.1,587
LinUCB - BPR embeddings - 5,35,0.059625212947189095,0.18511128425598145,0.0,0.1,587
LinGreedy - ALS embeddings - 5,85,0.14480408858603067,0.12670135498046875,0.0,0.1,587
LinGreedy - BPR embeddings - 5,41,0.06984667802385008,0.12503671646118164,0.0,0.1,587
LinUCB - ALS embeddings - 6,84,0.14310051107325383,0.23824048042297363,0.0,0.1,587
LinUCB - BPR embeddings - 6,45,0.07666098807495741,0.20675873756408691,0.0,0.1,587
