algorithm,hits,hr,time,train_size,test_size,test_interactions
LinUCB - ALS embeddings - 1,58,0.09880749574105621,0.14841842651367188,0.0,0.1,587
LinUCB - BPR embeddings - 1,37,0.06303236797274275,0.1514720916748047,0.0,0.1,587
LinGreedy - ALS embeddings - 1,61,0.10391822827938671,0.13581132888793945,0.0,0.1,587
LinGreedy - BPR embeddings - 1,40,0.06814310051107325,0.11345505714416504,0.0,0.1,587
LinUCB - ALS embeddings - 2,53,0.09028960817717206,0.17273545265197754,0.0,0.1,587
LinUCB - BPR embeddings - 2,36,0.06132879045996593,0.17248272895812988,0.0,0.1,587
LinGreedy - ALS embeddings - 2,55,0.09369676320272573,0.12303543090820312,0.0,0.1,587
LinGreedy - BPR embeddings - 2,37,0.06303236797274275,0.1204986572265625,0.0,0.1,587
LinUCB - ALS embeddings - 3,57,0.09710391822827939,0.18534040451049805,0.0,0.1,587
LinUCB - BPR embeddings - 3,36,0.06132879045996593,0.1956954002380371,0.0,0.1,587
LinGreedy - ALS embeddings - 3,58,0.09880749574105621,0.12254929542541504,0.0,0.1,587
LinGreedy - BPR embeddings - 3,40,0.06814310051107325,0.12444853782653809,0.0,0.1,587
LinUCB - ALS embeddings - 4,55,0.09369676320272573,0.19046449661254883,0.0,0.1,587
LinUCB - BPR embeddings - 4,32,0.054514480408858604,0.190185546875,0.0,0.1,587
LinGreedy - ALS embeddings - 4,56,0.09540034071550256,0.11970973014831543,0.0,0.1,587
LinGreedy - BPR embeddings - 4,38,0.06473594548551959,0.12122154235839844,0.0,0.1,587
LinUCB - ALS embeddings - 5,52,0.08858603066439523,0.20218324661254883,0.0,0.1,587
LinUCB - BPR embeddings - 5,34,0.05792163543441227,0.19893908500671387,0.0,0.1,587
LinGreedy - ALS embeddings - 5,53,0.09028960817717206,0.14708375930786133,0.0,0.1,587
LinGreedy - BPR embeddings - 5,37,0.06303236797274275,0.12646985054016113,0.0,0.1,587
LinUCB - ALS embeddings - 6,52,0.08858603066439523,0.21918773651123047,0.0,0.1,587
LinUCB - BPR embeddings - 6,34,0.05792163543441227,0.207139253616333,0.0,0.1,587
LinGreedy - ALS embeddings - 6,53,0.09028960817717206,0.14795327186584473,0.0,0.1,587
LinGreedy - BPR embeddings - 6,34,0.05792163543441227,0.12927889823913574,0.0,0.1,587
LinUCB - ALS embeddings - 7,50,0.08517887563884156,0.22277116775512695,0.0,0.1,587
LinUCB - BPR embeddings - 7,44,0.07495741056218058,0.22368574142456055,0.0,0.1,587
LinGreedy - ALS embeddings - 7,51,0.0868824531516184,0.12980866432189941,0.0,0.1,587
LinGreedy - BPR embeddings - 7,45,0.07666098807495741,0.12835240364074707,0.0,0.1,587
LinUCB - ALS embeddings - 8,52,0.08858603066439523,0.2584376335144043,0.0,0.1,587
LinUCB - BPR embeddings - 8,40,0.06814310051107325,0.2644813060760498,0.0,0.1,587
LinGreedy - ALS embeddings - 8,53,0.09028960817717206,0.1263899803161621,0.0,0.1,587
LinGreedy - BPR embeddings - 8,43,0.07325383304940375,0.1342306137084961,0.0,0.1,587
LinUCB - ALS embeddings - 9,59,0.10051107325383304,0.2659785747528076,0.0,0.1,587
LinUCB - BPR embeddings - 9,47,0.08006814310051108,0.2506873607635498,0.0,0.1,587
LinGreedy - ALS embeddings - 9,59,0.10051107325383304,0.13403701782226562,0.0,0.1,587
LinGreedy - BPR embeddings - 9,55,0.09369676320272573,0.13261890411376953,0.0,0.1,587
LinUCB - ALS embeddings - 10,57,0.09710391822827939,0.32416272163391113,0.0,0.1,587
LinUCB - BPR embeddings - 10,54,0.0919931856899489,0.2687516212463379,0.0,0.1,587
LinGreedy - ALS embeddings - 10,57,0.09710391822827939,0.16900134086608887,0.0,0.1,587
LinGreedy - BPR embeddings - 10,65,0.11073253833049404,0.137406587600708,0.0,0.1,587
LinUCB - ALS embeddings - 1,59,0.10051107325383304,0.16046428680419922,0.1,0.1,587
LinUCB - BPR embeddings - 1,40,0.06814310051107325,0.1581728458404541,0.1,0.1,587
LinGreedy - ALS embeddings - 1,59,0.10051107325383304,0.12805724143981934,0.1,0.1,587
LinGreedy - BPR embeddings - 1,44,0.07495741056218058,0.1296555995941162,0.1,0.1,587
LinUCB - ALS embeddings - 2,53,0.09028960817717206,0.1787400245666504,0.1,0.1,587
LinUCB - BPR embeddings - 2,30,0.05110732538330494,0.18029093742370605,0.1,0.1,587
LinGreedy - ALS embeddings - 2,58,0.09880749574105621,0.13420867919921875,0.1,0.1,587
LinGreedy - BPR embeddings - 2,37,0.06303236797274275,0.12546730041503906,0.1,0.1,587
LinUCB - ALS embeddings - 3,62,0.10562180579216354,0.1905052661895752,0.1,0.1,587
LinUCB - BPR embeddings - 3,40,0.06814310051107325,0.1939527988433838,0.1,0.1,587
LinGreedy - ALS embeddings - 3,68,0.11584327086882454,0.1276848316192627,0.1,0.1,587
LinGreedy - BPR embeddings - 3,42,0.07155025553662692,0.12315940856933594,0.1,0.1,587
LinUCB - ALS embeddings - 4,61,0.10391822827938671,0.19840693473815918,0.1,0.1,587
LinUCB - BPR embeddings - 4,35,0.059625212947189095,0.20806169509887695,0.1,0.1,587
LinGreedy - ALS embeddings - 4,60,0.10221465076660988,0.13176226615905762,0.1,0.1,587
LinGreedy - BPR embeddings - 4,40,0.06814310051107325,0.12086963653564453,0.1,0.1,587
LinUCB - ALS embeddings - 5,61,0.10391822827938671,0.21729493141174316,0.1,0.1,587
LinUCB - BPR embeddings - 5,39,0.06643952299829642,0.21999049186706543,0.1,0.1,587
LinGreedy - ALS embeddings - 5,60,0.10221465076660988,0.13241171836853027,0.1,0.1,587
LinGreedy - BPR embeddings - 5,41,0.06984667802385008,0.13042950630187988,0.1,0.1,587
LinUCB - ALS embeddings - 6,61,0.10391822827938671,0.26508355140686035,0.1,0.1,587
LinUCB - BPR embeddings - 6,37,0.06303236797274275,0.22712039947509766,0.1,0.1,587
LinGreedy - ALS embeddings - 6,61,0.10391822827938671,0.1406083106994629,0.1,0.1,587
LinGreedy - BPR embeddings - 6,41,0.06984667802385008,0.13123321533203125,0.1,0.1,587
LinUCB - ALS embeddings - 7,61,0.10391822827938671,0.22571015357971191,0.1,0.1,587
LinUCB - BPR embeddings - 7,46,0.07836456558773425,0.2538003921508789,0.1,0.1,587
LinGreedy - ALS embeddings - 7,62,0.10562180579216354,0.1420297622680664,0.1,0.1,587
LinGreedy - BPR embeddings - 7,46,0.07836456558773425,0.13383007049560547,0.1,0.1,587
LinUCB - ALS embeddings - 8,62,0.10562180579216354,0.3022904396057129,0.1,0.1,587
LinUCB - BPR embeddings - 8,45,0.07666098807495741,0.28055644035339355,0.1,0.1,587
LinGreedy - ALS embeddings - 8,63,0.10732538330494037,0.16178226470947266,0.1,0.1,587
LinGreedy - BPR embeddings - 8,48,0.0817717206132879,0.13303780555725098,0.1,0.1,587
LinUCB - ALS embeddings - 9,65,0.11073253833049404,0.4149057865142822,0.1,0.1,587
LinUCB - BPR embeddings - 9,48,0.0817717206132879,0.2759416103363037,0.1,0.1,587
LinGreedy - ALS embeddings - 9,62,0.10562180579216354,0.1439826488494873,0.1,0.1,587
LinGreedy - BPR embeddings - 9,52,0.08858603066439523,0.13933396339416504,0.1,0.1,587
LinUCB - ALS embeddings - 10,57,0.09710391822827939,0.2958965301513672,0.1,0.1,587
LinUCB - BPR embeddings - 10,50,0.08517887563884156,0.31559133529663086,0.1,0.1,587
LinGreedy - ALS embeddings - 10,54,0.0919931856899489,0.13898944854736328,0.1,0.1,587
LinGreedy - BPR embeddings - 10,57,0.09710391822827939,0.18803811073303223,0.1,0.1,587
LinUCB - ALS embeddings - 1,60,0.10221465076660988,0.17609333992004395,0.2,0.1,587
LinUCB - BPR embeddings - 1,38,0.06473594548551959,0.15856242179870605,0.2,0.1,587
LinGreedy - ALS embeddings - 1,62,0.10562180579216354,0.13752031326293945,0.2,0.1,587
LinGreedy - BPR embeddings - 1,41,0.06984667802385008,0.1447160243988037,0.2,0.1,587
LinUCB - ALS embeddings - 2,60,0.10221465076660988,0.1873023509979248,0.2,0.1,587
LinUCB - BPR embeddings - 2,35,0.059625212947189095,0.18207979202270508,0.2,0.1,587
LinGreedy - ALS embeddings - 2,64,0.10902896081771721,0.128676176071167,0.2,0.1,587
LinGreedy - BPR embeddings - 2,38,0.06473594548551959,0.12300777435302734,0.2,0.1,587
LinUCB - ALS embeddings - 3,66,0.11243611584327087,0.19260883331298828,0.2,0.1,587
LinUCB - BPR embeddings - 3,36,0.06132879045996593,0.2223498821258545,0.2,0.1,587
LinGreedy - ALS embeddings - 3,68,0.11584327086882454,0.1837151050567627,0.2,0.1,587
LinGreedy - BPR embeddings - 3,41,0.06984667802385008,0.2219076156616211,0.2,0.1,587
LinUCB - ALS embeddings - 4,54,0.0919931856899489,0.2960057258605957,0.2,0.1,587
LinUCB - BPR embeddings - 4,26,0.044293015332197615,0.260875940322876,0.2,0.1,587
LinGreedy - ALS embeddings - 4,57,0.09710391822827939,0.1289210319519043,0.2,0.1,587
LinGreedy - BPR embeddings - 4,29,0.049403747870528106,0.12550783157348633,0.2,0.1,587
LinUCB - ALS embeddings - 5,60,0.10221465076660988,0.23042559623718262,0.2,0.1,587
LinUCB - BPR embeddings - 5,27,0.04599659284497445,0.212479829788208,0.2,0.1,587
LinGreedy - ALS embeddings - 5,59,0.10051107325383304,0.13542842864990234,0.2,0.1,587
LinGreedy - BPR embeddings - 5,28,0.04770017035775128,0.12833952903747559,0.2,0.1,587
LinUCB - ALS embeddings - 6,58,0.09880749574105621,0.27880239486694336,0.2,0.1,587
LinUCB - BPR embeddings - 6,26,0.044293015332197615,0.21527862548828125,0.2,0.1,587
LinGreedy - ALS embeddings - 6,58,0.09880749574105621,0.13019156455993652,0.2,0.1,587
LinGreedy - BPR embeddings - 6,29,0.049403747870528106,0.12823247909545898,0.2,0.1,587
LinUCB - ALS embeddings - 7,55,0.09369676320272573,0.25100278854370117,0.2,0.1,587
LinUCB - BPR embeddings - 7,34,0.05792163543441227,0.24233531951904297,0.2,0.1,587
LinGreedy - ALS embeddings - 7,56,0.09540034071550256,0.15202879905700684,0.2,0.1,587
LinGreedy - BPR embeddings - 7,35,0.059625212947189095,0.13771820068359375,0.2,0.1,587
LinUCB - ALS embeddings - 8,56,0.09540034071550256,0.28191375732421875,0.2,0.1,587
LinUCB - BPR embeddings - 8,35,0.059625212947189095,0.2797830104827881,0.2,0.1,587
LinGreedy - ALS embeddings - 8,57,0.09710391822827939,0.17651987075805664,0.2,0.1,587
LinGreedy - BPR embeddings - 8,38,0.06473594548551959,0.13791584968566895,0.2,0.1,587
LinUCB - ALS embeddings - 9,53,0.09028960817717206,0.3186531066894531,0.2,0.1,587
LinUCB - BPR embeddings - 9,37,0.06303236797274275,0.25631046295166016,0.2,0.1,587
LinGreedy - ALS embeddings - 9,56,0.09540034071550256,0.14008498191833496,0.2,0.1,587
LinGreedy - BPR embeddings - 9,45,0.07666098807495741,0.1452345848083496,0.2,0.1,587
LinUCB - ALS embeddings - 10,54,0.0919931856899489,0.3053455352783203,0.2,0.1,587
LinUCB - BPR embeddings - 10,43,0.07325383304940375,0.30989861488342285,0.2,0.1,587
LinGreedy - ALS embeddings - 10,52,0.08858603066439523,0.1422123908996582,0.2,0.1,587
LinGreedy - BPR embeddings - 10,48,0.0817717206132879,0.15041661262512207,0.2,0.1,587
LinUCB - ALS embeddings - 1,59,0.10051107325383304,0.1594381332397461,0.3,0.1,587
LinUCB - BPR embeddings - 1,38,0.06473594548551959,0.14908194541931152,0.3,0.1,587
LinGreedy - ALS embeddings - 1,61,0.10391822827938671,0.11346721649169922,0.3,0.1,587
LinGreedy - BPR embeddings - 1,43,0.07325383304940375,0.1326439380645752,0.3,0.1,587
LinUCB - ALS embeddings - 2,61,0.10391822827938671,0.18504810333251953,0.3,0.1,587
LinUCB - BPR embeddings - 2,38,0.06473594548551959,0.17216992378234863,0.3,0.1,587
LinGreedy - ALS embeddings - 2,63,0.10732538330494037,0.15494537353515625,0.3,0.1,587
LinGreedy - BPR embeddings - 2,44,0.07495741056218058,0.1290271282196045,0.3,0.1,587
LinUCB - ALS embeddings - 3,59,0.10051107325383304,0.1823749542236328,0.3,0.1,587
LinUCB - BPR embeddings - 3,37,0.06303236797274275,0.19092345237731934,0.3,0.1,587
LinGreedy - ALS embeddings - 3,61,0.10391822827938671,0.12099337577819824,0.3,0.1,587
LinGreedy - BPR embeddings - 3,44,0.07495741056218058,0.12268900871276855,0.3,0.1,587
LinUCB - ALS embeddings - 4,56,0.09540034071550256,0.19467449188232422,0.3,0.1,587
LinUCB - BPR embeddings - 4,31,0.05281090289608177,0.18663573265075684,0.3,0.1,587
LinGreedy - ALS embeddings - 4,57,0.09710391822827939,0.11723089218139648,0.3,0.1,587
LinGreedy - BPR embeddings - 4,35,0.059625212947189095,0.12224006652832031,0.3,0.1,587
LinUCB - ALS embeddings - 5,54,0.0919931856899489,0.21820998191833496,0.3,0.1,587
LinUCB - BPR embeddings - 5,32,0.054514480408858604,0.21833467483520508,0.3,0.1,587
LinGreedy - ALS embeddings - 5,55,0.09369676320272573,0.12704873085021973,0.3,0.1,587
LinGreedy - BPR embeddings - 5,35,0.059625212947189095,0.12764477729797363,0.3,0.1,587
LinUCB - ALS embeddings - 6,57,0.09710391822827939,0.2365107536315918,0.3,0.1,587
LinUCB - BPR embeddings - 6,34,0.05792163543441227,0.21697568893432617,0.3,0.1,587
LinGreedy - ALS embeddings - 6,56,0.09540034071550256,0.13366270065307617,0.3,0.1,587
LinGreedy - BPR embeddings - 6,38,0.06473594548551959,0.13054847717285156,0.3,0.1,587
LinUCB - ALS embeddings - 7,56,0.09540034071550256,0.25301241874694824,0.3,0.1,587
LinUCB - BPR embeddings - 7,28,0.04770017035775128,0.23384380340576172,0.3,0.1,587
LinGreedy - ALS embeddings - 7,57,0.09710391822827939,0.12823796272277832,0.3,0.1,587
LinGreedy - BPR embeddings - 7,31,0.05281090289608177,0.12668848037719727,0.3,0.1,587
LinUCB - ALS embeddings - 8,57,0.09710391822827939,0.2772359848022461,0.3,0.1,587
LinUCB - BPR embeddings - 8,31,0.05281090289608177,0.2573421001434326,0.3,0.1,587
