algorithm,hits,hr,time,train_size,test_size,test_interactions
LinUCB - ALS embeddings,44,0.07495741056218058,0.18474125862121582,0.0,0.1,587
LinUCB - BPR embeddings,36,0.06132879045996593,0.16086125373840332,0.0,0.1,587
LinGreedy - ALS embeddings,47,0.08006814310051108,0.12307500839233398,0.0,0.1,587
LinGreedy - BPR embeddings,39,0.06643952299829642,0.11951541900634766,0.0,0.1,587
LinUCB - ALS embeddings,48,0.0817717206132879,0.1551988124847412,0.1,0.1,587
LinUCB - BPR embeddings,40,0.06814310051107325,0.186875581741333,0.1,0.1,587
LinGreedy - ALS embeddings,52,0.08858603066439523,0.1218559741973877,0.1,0.1,587
LinGreedy - BPR embeddings,42,0.07155025553662692,0.12719154357910156,0.1,0.1,587
LinUCB - ALS embeddings,52,0.08858603066439523,0.16669321060180664,0.2,0.1,587
LinUCB - BPR embeddings,39,0.06643952299829642,0.15776443481445312,0.2,0.1,587
LinGreedy - ALS embeddings,56,0.09540034071550256,0.12449836730957031,0.2,0.1,587
LinGreedy - BPR embeddings,41,0.06984667802385008,0.12449216842651367,0.2,0.1,587
LinUCB - ALS embeddings,51,0.0868824531516184,0.14356565475463867,0.3,0.1,587
LinUCB - BPR embeddings,43,0.07325383304940375,0.1496446132659912,0.3,0.1,587
LinGreedy - ALS embeddings,54,0.0919931856899489,0.1210017204284668,0.3,0.1,587
LinGreedy - BPR embeddings,44,0.07495741056218058,0.11803650856018066,0.3,0.1,587
LinUCB - ALS embeddings,56,0.09540034071550256,0.1534595489501953,0.4,0.1,587
LinUCB - BPR embeddings,43,0.07325383304940375,0.16361618041992188,0.4,0.1,587
LinGreedy - ALS embeddings,58,0.09880749574105621,0.12703371047973633,0.4,0.1,587
LinGreedy - BPR embeddings,45,0.07666098807495741,0.12029886245727539,0.4,0.1,587
LinUCB - ALS embeddings,61,0.10391822827938671,0.16441822052001953,0.5,0.1,587
LinUCB - BPR embeddings,46,0.07836456558773425,0.15891361236572266,0.5,0.1,587
LinGreedy - ALS embeddings,63,0.10732538330494037,0.12607455253601074,0.5,0.1,587
LinGreedy - BPR embeddings,50,0.08517887563884156,0.12191247940063477,0.5,0.1,587
LinUCB - ALS embeddings,64,0.10902896081771721,0.15375590324401855,0.6,0.1,587
LinUCB - BPR embeddings,48,0.0817717206132879,0.17499113082885742,0.6,0.1,587
LinGreedy - ALS embeddings,67,0.1141396933560477,0.12772536277770996,0.6,0.1,587
LinGreedy - BPR embeddings,50,0.08517887563884156,0.12336492538452148,0.6,0.1,587
LinUCB - ALS embeddings,67,0.1141396933560477,0.27091193199157715,0.7,0.1,587
LinUCB - BPR embeddings,53,0.09028960817717206,0.22786593437194824,0.7,0.1,587
LinGreedy - ALS embeddings,68,0.11584327086882454,0.14874529838562012,0.7,0.1,587
LinGreedy - BPR embeddings,55,0.09369676320272573,0.19484996795654297,0.7,0.1,587
LinUCB - ALS embeddings,68,0.11584327086882454,0.16742300987243652,0.8,0.1,587
LinUCB - BPR embeddings,50,0.08517887563884156,0.15949368476867676,0.8,0.1,587
LinGreedy - ALS embeddings,69,0.11754684838160136,0.11924195289611816,0.8,0.1,587
LinGreedy - BPR embeddings,53,0.09028960817717206,0.13654565811157227,0.8,0.1,587
LinUCB - ALS embeddings,72,0.12265758091993186,0.2330021858215332,0.9,0.1,587
LinUCB - BPR embeddings,51,0.0868824531516184,0.19553422927856445,0.9,0.1,587
LinGreedy - ALS embeddings,73,0.12436115843270869,0.1330890655517578,0.9,0.1,587
LinGreedy - BPR embeddings,52,0.08858603066439523,0.14501690864562988,0.9,0.1,587
LinUCB - ALS embeddings,79,0.13458262350936967,0.1721804141998291,1.0,0.1,587
LinUCB - BPR embeddings,52,0.08858603066439523,0.1829233169555664,1.0,0.1,587
LinGreedy - ALS embeddings,80,0.1362862010221465,0.15000462532043457,1.0,0.1,587
LinGreedy - BPR embeddings,56,0.09540034071550256,0.12629914283752441,1.0,0.1,587
ALS,63,0.10732538330494037,0.2314906120300293,0.0,0.1,587
BPR,43,0.07325383304940375,0.22910189628601074,0.0,0.1,587
ALS,71,0.12095400340715502,0.192000150680542,0.1,0.1,587
BPR,39,0.06643952299829642,0.3092622756958008,0.1,0.1,587
ALS,72,0.12265758091993186,0.20467162132263184,0.2,0.1,587
BPR,42,0.07155025553662692,0.24703049659729004,0.2,0.1,587
ALS,75,0.12776831345826234,0.24796080589294434,0.3,0.1,587
BPR,37,0.06303236797274275,0.22396397590637207,0.3,0.1,587
ALS,74,0.1260647359454855,0.22120904922485352,0.4,0.1,587
BPR,35,0.059625212947189095,0.23405861854553223,0.4,0.1,587
ALS,71,0.12095400340715502,0.20997071266174316,0.5,0.1,587
BPR,36,0.06132879045996593,0.27623581886291504,0.5,0.1,587
ALS,66,0.11243611584327087,0.21799349784851074,0.6,0.1,587
BPR,39,0.06643952299829642,0.2765183448791504,0.6,0.1,587
ALS,69,0.11754684838160136,0.2649714946746826,0.7,0.1,587
BPR,41,0.06984667802385008,0.22899818420410156,0.7,0.1,587
ALS,70,0.11925042589437819,0.21399331092834473,0.8,0.1,587
BPR,41,0.06984667802385008,0.2859983444213867,0.8,0.1,587
ALS,76,0.12947189097103917,0.29202914237976074,0.9,0.1,587
BPR,39,0.06643952299829642,0.25302958488464355,0.9,0.1,587
ALS,75,0.12776831345826234,0.26671838760375977,1.0,0.1,587
BPR,49,0.08347529812606473,0.22204899787902832,1.0,0.1,587
