algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,46,0.1538461538461538,0.1285319328308105,,0.05,299
LinUCB (non_incremental),22,0.0735785953177257,0.0630137920379638,,0.05,299
LinGreedy (non_incremental),22,0.0735785953177257,0.0555202960968017,,0.05,299
LinUCB (incremental),17,0.0568561872909698,61.364015340805054,1.0,0.05,299
LinGreedy (incremental),18,0.060200668896321,48.1627779006958,1.0,0.05,299
LinUCB (incremental),20,0.0668896321070234,11.046569347381592,5.0,0.05,299
LinGreedy (incremental),17,0.0568561872909698,10.335074663162231,5.0,0.05,299
LinUCB (incremental),25,0.0836120401337792,5.859867334365845,10.0,0.05,299
LinGreedy (incremental),25,0.0836120401337792,5.650713205337524,10.0,0.05,299
LinUCB (incremental),28,0.0936454849498327,0.9075415134429932,100.0,0.05,299
LinGreedy (incremental),23,0.0769230769230769,0.99481201171875,100.0,0.05,299
LinUCB (incremental),28,0.0936454849498327,0.2490406036376953,1000.0,0.05,299
LinGreedy (incremental),30,0.1003344481605351,0.259350061416626,1000.0,0.05,299
ALS,82,0.131621187800963,0.2160022258758545,,0.1,623
LinUCB (non_incremental),47,0.0754414125200642,0.1055145263671875,,0.1,623
LinGreedy (non_incremental),50,0.0802568218298555,0.08964204788208,,0.1,623
LinUCB (incremental),43,0.0690208667736757,105.93791246414185,1.0,0.1,623
LinGreedy (incremental),45,0.0722311396468699,112.5732069015503,1.0,0.1,623
LinUCB (incremental),51,0.0818619582664526,24.425326824188232,5.0,0.1,623
LinGreedy (incremental),61,0.0979133226324237,23.84029054641724,5.0,0.1,623
LinUCB (incremental),67,0.1075441412520064,13.59293818473816,10.0,0.1,623
LinGreedy (incremental),66,0.1059390048154093,13.172928094863892,10.0,0.1,623
LinUCB (incremental),77,0.1235955056179775,1.979177713394165,100.0,0.1,623
LinGreedy (incremental),81,0.1300160513643659,1.9235906600952148,100.0,0.1,623
LinUCB (incremental),72,0.1155698234349919,0.3640453815460205,1000.0,0.1,623
LinGreedy (incremental),66,0.1059390048154093,0.3611688613891601,1000.0,0.1,623
ALS,194,0.1860019175455417,0.3494219779968261,,0.15,1043
LinUCB (non_incremental),72,0.0690316395014381,0.1771280765533447,,0.15,1043
LinGreedy (non_incremental),77,0.0738255033557047,0.1948904991149902,,0.15,1043
LinUCB (incremental),84,0.0805369127516778,183.93462824821472,1.0,0.15,1043
LinGreedy (incremental),100,0.0958772770853307,192.05584073066711,1.0,0.15,1043
LinUCB (incremental),103,0.0987535953978907,36.54280686378479,5.0,0.15,1043
LinGreedy (incremental),114,0.109300095877277,34.826568365097046,5.0,0.15,1043
LinUCB (incremental),121,0.1160115052732502,20.019115447998047,10.0,0.15,1043
LinGreedy (incremental),137,0.1313518696069031,19.518299102783203,10.0,0.15,1043
LinUCB (incremental),123,0.1179290508149568,3.059999704360962,100.0,0.15,1043
LinGreedy (incremental),129,0.1236816874400767,2.9939701557159424,100.0,0.15,1043
LinUCB (incremental),94,0.0901246404602109,0.469327449798584,1000.0,0.15,1043
LinGreedy (incremental),117,0.112176414189837,0.4711503982543945,1000.0,0.15,1043
ALS,384,0.2394014962593516,0.5120313167572021,,0.2,1604
LinUCB (non_incremental),139,0.0866583541147132,0.2756097316741943,,0.2,1604
LinGreedy (non_incremental),140,0.0872817955112219,0.233778715133667,,0.2,1604
LinUCB (incremental),151,0.0941396508728179,275.7502398490906,1.0,0.2,1604
LinGreedy (incremental),167,0.1041147132169576,291.9727272987366,1.0,0.2,1604
LinUCB (incremental),171,0.1066084788029925,72.11264753341675,5.0,0.2,1604
