algorithm,hits,hr,time,batch_size,test_size,test_interactions
ALS,954,0.18171428571428572,1.607805252075195,,0.55,5250
LinUCB (non_incremental),347,0.0660952380952381,0.9303734302520752,,0.55,5250
LinGreedy (non_incremental),403,0.07676190476190477,0.7283554077148438,,0.55,5250
LinUCB (incremental),459,0.08742857142857142,1052.4041855335236,1.0,0.55,5250
LinGreedy (incremental),515,0.0980952380952381,1045.93896317482,1.0,0.55,5250
LinUCB (incremental),649,0.12361904761904761,241.64972376823425,5.0,0.55,5250
LinGreedy (incremental),715,0.1361904761904762,232.36953949928284,5.0,0.55,5250
LinUCB (incremental),712,0.1356190476190476,129.2177610397339,10.0,0.55,5250
LinGreedy (incremental),719,0.13695238095238096,111.17229080200195,10.0,0.55,5250
LinUCB (incremental),690,0.13142857142857142,15.82712697982788,100.0,0.55,5250
LinGreedy (incremental),705,0.13428571428571429,14.999789953231812,100.0,0.55,5250
LinUCB (incremental),548,0.10438095238095238,2.590950727462769,1000.0,0.55,5250
LinGreedy (incremental),559,0.10647619047619047,2.4906575679779053,1000.0,0.55,5250
